sample,cadinho(g),solo(g),cadinho_soil,cadinho_soil(105ºc),cadinho_soil(500ºc),cadinho_soil(950ºc)
F102,16.1147,10.1309,26.2456,23.9296,22.7822,22.6876
F105,18.4746,10.1775,28.6521,26.3035,25,25.36
F108,16.3924,10.1261,26.5185,24.8282,24.0779,24.0016
P37,15.7641,10.133,25.8971,23.7131,22.8623,22.7184
P65,18474,10233,28707,26894,25956,25812
I05,16.4075,10.1209,26.5284,24.896,23.7965,23.7038
I01,15.7634,10.1977,25.9611,23.7859,22.7558,22.6132
I03,19.7483,10.0549,29.8032,27.637,26.681,26.5535
I08,16.4363,10.176,26.6123,24.2642,23.9062,23.1767
I09,18.4743,10.2123,28.6866,26.3523,25.4911,25.3562
I11,18.2835,10.1004,28.3839,26.2609,25.2593,25.1057
I13,16.0251,10.1471,26.1722,24.0305,23.0026,22.8948
I15,18.2848,10.0412,28.326,26.1199,25.1241,24.9078
I17,15.6403,10.0892,25.7295,23.6075,22.6514,22.5381
I19,15.7102,10.4431,26.1533,23.7061,22.795,22.5913
I21,19.7479,10.097,29.8449,27.8184,26.8721,26.7239
I23,16.4056,10.1628,26.5684,24.4989,23.5469,23.414
I25,15.7111,10.288,25.9991,24.0396,22.9903,22.856
I28,18.2925,10.2096,28.5021,26.6476,25.5796,25.4388
I29,19.748,10.3576,30.1056,28.2083,27.263,27.0349
I31,16.0491,10.246,26.2951,24.4044,23.4096,23.2739
I33,19749,100184,29934,28192,27190,27062
I35,18.2842,10.1981,28.4823,26.8547,25.8716,25.7806
I39,15.6427,10.212,25.8547,24.0876,23.177,23.0345
I41,16.4052,10.1607,26.5659,24.834,23.9017,23.6854
I43,18.4738,10.219,28.6928,26.9619,26.0445,25.9003
I46,18.474,10.7684,29.2424,27.3037,26.3788,26.1336
I47,16.4054,10.022,26.4274,24.3451,23.4429,23.3056
I49,16.115,10.0214,26.1364,24.3123,23.3614,23.2251
I51,15763,10623,26386,23798,22936,22735
I53,15764,101940,26174,24502,23433,23291
I55,16392,10227,26619,24924,23292,23137
I57,15.6406,10.216,25.8566,23.8958,23.0175,22.8021
I61,16114,100449,26564,24658,23663,23502
I59,16.3917,10.1202,26.5119,25.2312,24.1445,23.9999
I63,15.7097,10.1092,25.8189,24.2209,23.0912,23.0006
II73,18288,100593,28881,26717,25407,25265
II75,15641,100527,26168,23794,22572,22427
II77,16.0258,10.1693,26.1951,24.2156,22.9703,22.8236
III67,16.3915,10.3464,26.7379,24.6149,23.5685,23.3356
III71,15.7103,10.064,25.7743,24.2285,23.0892,22.9572
III69,15.71,10.1466,25.8566,23.9972,22.8608,22.7208
IV79,16405,104144,26820,24379,23270,22990
IV155,16.1143,10.5104,26.6247,24.3466,23.3028,23.0904
IV81,16.0266,10.1281,26.1547,23.7098,22.6705,22.4145
