sample,ch4(mg/m^2/day),co2(mg/m^2/day),ph,conductivity(ms/cm),moisture(g),organic_matter(g),inorganic_matter(g)
4,-0.636666667,16407.76,4.4,0.03,0.075746625,0.040399301,0.004165427
10,-2.42,14165.04333,4.4,0.06,0.080234959,0.04921599,0.004058839
I07,-1.476666667,12532.09,4.5,0.12,0.07639394,0.039461145,0.002905733
16,-0.473333333,11687.96333,4.9,0.02,0.083864576,0.047760702,0.02444515
13,-1.39,11295.49667,4.5,0.04,0.086956195,0.046189709,0.003953823
I22,-0.376666667,15329.95667,4.7,0.02,0.090666781,0.042880678,0.004672757
19,-1.823333333,22177.88667,4.1,0.06,0.087615806,0.04195672,0.004684264
28,1.91,23636.57667,4.7,0.02,0.08560151,0.036680813,0.004098658
25,1.446666667,13704.02333,4.2,0.03,0.186891513,-0.08211847,0.010686208
37,0.883333333,22501.58,4.1,0.08,0.08551887,0.042985557,0.004826593
34,-2.13,13653.71333,4.3,0.06,0.083113052,0.045616336,0.003551145
43,-0.533333333,12722.27667,4.7,0.03,0.079800907,0.040656192,0.003330923
46,-1.216666667,14321,4.4,0.04,0.081630427,0.042283108,0.004422405
52,0.296666667,13048.75,4.3,0.04,0.078083559,0.043112156,0.004198082
49,-2.356666667,8529.96,4.3,0.05,0.089679406,0.039990869,0.003673266
P66,-0.753333333,7728.423333,4.2,0.04,0.08877417,0.039665234,0.005436837
55,-0.133333333,9965.75,4.8,0.01,0.085126734,0.040647185,0.003570646
58,-0.61,6941.903333,4.3,0.05,0.065979862,0.04541368,0.002559748
61,0.66,7320.4,4.1,0.03,0.081649101,0.042684168,0.04090778
67,-0.416666667,8231.336667,4.1,0.04,0.079041819,0.038090425,0.004987385
70,1.326666667,13587.95,4.2,0.06,0.073759259,0.041958567,0.002738059
73,2.186666667,14174.79667,4.3,0.04,0.05033816,0.041763102,0.002469009
76,-1.44,10367.40667,4.5,0.04,0.084533503,0.039775707,0.004281886
79,0.703333333,9777.073333,4.3,0.05,0.062911046,0.048122434,0.002380489
85,0.09,1645.103157,4.3,0.03,0.087575434,0.036877138,0.002986826
82,2.526666667,2734.443333,4.5,0.05,0.191189772,0.041475367,0.006388646
88,-1.623333333,4154.563333,4,0.06,0.049653368,0.037328748,0.002626565
94,-1.006666667,6640.543333,4.5,0.04,0.066717984,0.043518027,0.00309909799999999
97,-1.413333333,7077.37,4.5,0.04,0.053184352,0.037712073,0.002439871
2,0.496666667,2726.886667,4.4,0.04,0.078002615,0.042317232,0.006501228
40,-0.33,963.8133333,4.5,0.03,0.082346465,0.03160436,0.00381886
91,0.203333333,11529.49333,4.1,0.04,0.085213174,0.038596139,0.004583846
175,0.173333333,5244.33,4.2,0.04,0.056210047,0.048771672,0.005590218
166,7.896666667,22381.64667,4.7,0.04,0.085194326,0.048243254,0.003781764
149,-0.49,16331.64,4.5,0.03,0.071511771,0.058368192,0.003205521
295,1.623333333,16091.09,4.4,0.04,0.085387885,0.050708651,0.005175194
274,-0.233333333,23219.80667,4.4,0.03,0.066176755,0.048917485,0.004057098
271,-1.483333333,14035.41,4.2,0.03,0.075907404,0.052766044,0.003256811
319,-1.64,12860.88,4.3,0.03,0.068699542,0.047896034,0.002548101
373,1.87,15393.36333,4.5,0.02,0.090050663,0.051077307,0.003234447
F102,-3.12,21386.3,5.2,0.09,0.0882433626969854,0.0479489836854774,0.00395326290451992
F105,-4.34,12155,5.8,0.11,0.0819695589503037,0.0319615260326572,0.00377136122569239
F108,-4.12,19704,5.1,0.11,0.0637404076399494,0.0302196695692801,0.0030731184701267
P37,0.33,10498.04,5,0.03,0.0843337671013356,0.0358789023788539,0.00606837570794211
P65,-2.33,4114.91,4.8,0.02,0.0631553279687881,0.0348776678813118,0.00535435413103294
I05,4.73,8159.1,4.6,0.13,0.0615340540703547,0.0441637210796915,0.00372348971722368
I01,-1.77,2401.17,4.5,0.16,0.0837868965490677,0.0433071693734524,0.00599514838622888
I03,0.48,5303.79,4.7,0.09,0.0726834702313846,0.034591308752759,0.00461338061294646
I08,-2.35,4296.91,4.9,0.09,0.0882336363260597,0.0147542469976344,0.030064869231213
I09,-0.81,4777.56,4.5,0.11,0.0813724875028759,0.0326802594080972,0.00511909776376249
I11,1.47,5438.72,4.5,0.09,0.0747959230408788,0.0381403531485973,0.00584899984387439
I13,0.88,9413.52,4.6,0.1,0.0818311032316732,0.0427748070160837,0.00448596575185706
