sample,ph_h2O,p,k,mo%,al,ca,mg,al+h,saturação_ctc
div_07 ,46,1.5,26,31,0.7,0.23,0.2,66,583
tri_08,45,1.1,17,28,0.6,0.2,0.12,627,625
hexa_10,43,1.3,20,32,0.4,0.19,0.11,66,533
tri_11,45,1.5,29,36,0.8,0.45,0.27,66,503
hexa_13,44,1.5,24,35,0.8,0.23,0.17,693,635
hexa_14,46,1.1,27,36,0.6,0.64,0.41,66,349
tri_16,45,1.1,22,34,0.9,0.22,0.12,693,692
mono_17,46,1.1,22,21,0.7,0.47,0.25,66,473
mono_18,47,1.1,25,31,0.6,0.43,0.23,627,455
hexa_19,44,1.1,20,31,0.8,0.2,0.14,561,672
hexa_20,44,1.3,20,3,0.7,0.4,0.17,627,53
mono_21,48,1.1,15,27,0.4,0.56,0.26,528,317
mono_22,44,1.3,16,28,0.8,0.17,0.12,66,708
mono_23,46,1.3,19,32,0.7,0.17,0.14,693,66
mono_25,48,1.1,19,31,0.7,0.35,0.21,66,534
tri_26,45,1.3,14,27,0.7,0.29,0.13,561,603
tri_28,46,1.3,24,3,0.5,0.52,0.24,66,379
alt_div_29,44,1.3,24,3,0.8,0.27,0.16,66,62
mono_30,44,0.9,16,28,1,0.27,0.12,627,699
mono_31,46,0.9,19,28,0.5,0.55,0.28,594,362
tri_32,46,1.3,44,27,0.7,0.26,0.18,561,56
mono_33,45,1.3,21,28,0.6,0.35,0.17,66,551
mono_34,46,1.5,23,3,0.6,0.56,0.24,594,411
tri_35,47,1.1,20,3,0.6,0.67,0.24,594,385
hexa_36,51,1.1,20,3,0.2,1.16,0.42,495,109
hexa_37,46,0.7,12,21,0.5,0.21,0.12,528,581
tri_38,47,0.9,14,26,0.5,0.38,0.19,528,45
mono_39,47,0.7,14,26,0.5,0.5,0.18,561,41
hexa_41,46,0.5,10,21,0.5,0.21,0.11,429,588
mono_45,46,0.7,16,27,0.5,0.36,0.14,66,481
alt_div_48,44,0.9,19,31,0.7,0.26,0.12,66,619
alt_div_67,44,1.3,29,39,1.1,0.25,1.1,957,701
div_82,44,0.9,19,36,1,0.23,1,825,694
alt_div_87,43,1.1,23,35,1,0.14,1,726,781
div_121,43,1.3,23,39,1,0.25,0.09,1056,714
alt_div_126,42,0.6,10,32,0.8,0.16,0.02,825,799
alt_div_134,44,0.9,18,34,0.7,0.14,0.7,627,759
div_146,49,1.7,43,42,0.6,0.77,0.46,825,309
alt_div_176,5,0.8,24,34,0.8,0.23,0.12,726,661
