sample,richness,shannon
F90,57,9.289575849189141
F93,72,16.81568276568147
F96,78,16.121987143316957
F99,55,12.328108016661053
F102,54,9.141225647971924
F105,56,8.61245443107772
F108,60,10.60944517200086
P37,50,11.865888269340262
P65,55,12.615162774849614
P66,60,12.90007266237525
P154,52,8.95241054797994
P160,60,12.64471613027904
G42,55,13.15418185069607
G45,53,12.619500874322185
G48,54,12.57672963692133
G07,55,13.799988554390577
G27,62,14.574031391171195
I01,49,11.908601330771024
I03,68,14.635748006173163
I05,53,11.949586065257478
I07,52,13.258940742688026
I08,58,12.902453202658096
I09,51,11.846338602707101
I11,60,11.900828668119601
I13,57,11.367587358722849
I15,57,13.46711275252961
I17,52,12.149807079471255
I19,51,11.630949922718806
I21,56,12.612537084219207
I22,60,11.628555233420952
I23,57,12.456056359512761
I25,54,12.7852168317784
I28,55,13.030710744280384
I29,63,13.097283260815054
I31,68,15.884650528014125
I33,60,15.228075742573813
I35,57,13.146194558740858
I39,55,12.833843126311047
I41,67,12.767196714658017
I43,59,12.95447614681242
I46,55,13.886008824065813
I47,59,13.2153955552953
I49,67,13.353206053446268
I51,64,14.588622322934723
I53,62,13.741690621579576
I55,77,14.02924997340697
I57,58,12.516527332650897
I59,52,13.583477220856214
I61,57,12.726568340006734
I63,73,13.363372802181637
II73,61,13.221417359766152
II75,56,11.378424582672125
II77,58,11.080839387993294
III67,62,12.070807725966764
III69,56,12.79978216162047
III71,61,12.349912955873474
IV79,64,13.539160098877154
IV81,66,13.712634872389557
