sample,richness,shannon
F90,172,37.94005250785478
F93,224,64.82808506990031
F96,243,66.47082602207719
F99,161,33.244229183187834
F102,160,31.347837422229244
F105,149,28.67975945149272
F108,157,35.52721584223442
P37,159,43.47724763417176
P65,185,49.82971182435916
P66,165,37.03505138513974
P154,175,33.56687409048544
P160,163,37.95974488522167
G42,160,40.735313804976045
G45,156,40.76412465542843
G48,162,39.478671128174355
G07,165,43.07638705964766
G27,177,47.02518336437318
I01,154,37.64667280417404
I03,187,48.84483192160879
I05,153,37.03489730086583
I07,154,38.75852573905615
I08,163,44.606392875881504
I09,149,35.138793474453266
I11,157,33.139273672396925
I13,166,39.60919250872589
I15,154,36.14195373080034
I17,157,41.8590053501287
I19,140,37.322641983002605
I21,178,45.595202914719
I22,177,37.947805872995104
I23,164,38.1144197340366
I25,155,38.487739476507905
I28,169,46.5392592149
I29,184,41.26503507468757
I31,178,49.65801213240943
I33,182,47.68537408009761
I35,167,38.98143994979492
I39,178,46.40366930463489
I41,191,41.90765207384605
I43,164,38.681050907918525
I46,160,41.54645601121136
I47,168,38.992945018268585
I49,182,36.12370277965049
I51,184,43.36063796211628
I53,186,46.26853092005995
I55,235,50.86472914368937
I57,166,34.79044194643023
I59,181,45.5824923446456
I61,157,42.09618602069078
I63,217,55.00264106174763
II73,170,38.58746512834974
II75,176,36.27432460364569
II77,162,37.831282603035895
III67,179,36.828698758137534
III69,171,39.37838093579506
III71,171,41.433092764543716
IV79,189,39.28278826697663
IV81,178,41.59096342053084
