sample,richness,shannon
P66,165,37.03505138513969
I07,154,38.7585257390561
I22,177,37.947805872995055
2,104,29.328346505556585
4,102,33.07295030671475
10,106,38.70904804262698
13,91,30.21343490508228
16,104,32.38863152253112
19,90,30.63618844033798
25,93,32.13921904719968
28,105,33.64478450915584
34,110,36.56879509409083
37,123,32.47671236866209
40,84,27.030853881145738
43,98,34.391038166949
46,75,28.682593843506716
49,101,38.329520463173374
52,83,38.90304673414229
55,83,29.373506596273703
58,69,27.443967164494715
61,88,30.703710834310613
64,116,36.565301495230436
67,110,35.45329187866716
70,114,31.215089697582105
73,110,35.66518712164203
76,106,32.885988074226255
79,104,31.221546757558826
82,82,32.59699889653856
85,98,36.8767880386389
88,102,29.92447410288127
91,86,29.25613032234883
94,84,33.15114274890785
97,101,38.00563617038362
149,107,32.0023625713625
166,68,28.897881068859373
175,57,26.76021376115141
271,87,26.254951391282177
274,101,38.81731886772632
295,85,27.024692677900294
319,93,30.95028573644878
373,83,32.15190373565863
