sample,richness,shannon
F90,229,47.33427956851237
F93,313,86.1832680663871
F96,351,91.25137750328797
F99,228,47.077727722203434
F102,215,40.07659254585406
F105,188,35.4901943640488
F108,212,44.110741764613415
P37,246,63.54107192999911
P65,284,76.29309352843403
P66,242,50.281007513617574
P154,233,42.13305596326641
P160,226,52.06963808049637
G42,225,54.509039573166234
G45,218,53.35238855782162
G48,234,50.138574438127094
G07,235,59.288673803984715
G27,259,64.22401784222453
I01,221,50.9008812858449
I03,259,64.73882315289015
I05,220,48.42582285732971
I07,219,53.396406297077235
I08,242,61.54877615275466
I09,210,48.57170463802061
I11,219,40.274330790612524
I13,252,57.29702404260377
I15,217,47.01417022455753
I17,228,56.487502302947455
I19,199,52.16166692972376
I21,278,69.7137980145535
I22,251,49.97369328251142
I23,232,51.13976300977156
I25,228,54.592247206040994
I28,259,69.05633167111871
I29,264,54.70976508505852
I31,257,71.37082441293357
I33,278,72.55423771603147
I35,242,59.0223940835724
I39,262,66.90238460127739
I41,270,59.263111737724984
I43,234,50.55677362784601
I46,236,59.282035408981564
I47,243,56.53234055680975
I49,262,49.92012464983154
I51,270,61.600904738669705
I53,271,64.2290309610303
I55,342,70.19211152333014
I57,234,52.05818052799741
I59,282,78.52527340572051
I61,237,60.87877068969849
I63,337,84.71625388224699
II73,240,54.5659831044123
II75,267,57.286584846339814
II77,226,50.46213372628127
III67,253,46.5269666875995
III69,243,52.48791857079334
III71,252,55.7707862478937
IV79,268,60.51762240249904
IV81,261,60.89962240869423
