sample,richness,shannon
F90,229,47.334279568512265
F93,313,86.18326806638687
F96,351,91.25137750328781
F99,228,47.077727722203306
F102,215,40.07659254585397
F105,188,35.49019436404873
F108,212,44.11074176461334
P37,246,63.541071929999
P65,284,76.29309352843389
P154,233,42.13305596326631
P160,226,52.069638080496254
G42,225,54.509039573166135
G45,218,53.35238855782152
G48,234,50.13857443812701
G07,235,59.28867380398461
G27,259,64.22401784222436
I01,221,50.90088128584484
I03,259,64.73882315289003
I05,220,48.425822857329585
I08,242,61.5487761527545
I09,210,48.571704638020506
I11,219,40.27433079061245
I13,252,57.297024042603674
I15,217,47.01417022455741
I17,228,56.487502302947355
I19,199,52.161666929723665
I21,278,69.71379801455338
I23,232,51.13976300977147
I25,228,54.592247206040895
I28,259,69.05633167111858
I29,264,54.70976508505842
I31,257,71.37082441293344
I33,278,72.55423771603127
I35,242,59.02239408357224
I39,262,66.90238460127726
I41,270,59.26311173772488
I43,234,50.55677362784592
I46,236,59.28203540898141
I47,243,56.53234055680965
I49,262,49.920124649831436
I51,270,61.60090473866965
I53,271,64.22903096103013
I55,342,70.19211152332988
I57,234,52.058180527997294
I59,282,78.52527340572038
I61,237,60.87877068969838
I63,337,84.71625388224676
II73,240,54.5659831044122
II75,267,57.28658484633961
II77,226,50.46213372628116
III67,253,46.526966687599376
III69,243,52.48791857079325
III71,252,55.770786247893554
IV79,268,60.51762240249889
IV81,261,60.89962240869407
