sample,richness,shannon
F90,120,27.82338544844503
F93,158,39.55012038068843
F96,171,39.02689881367741
F99,115,24.52049157957894
F102,115,23.653509737002832
F105,113,20.469022897867433
F108,116,26.599805316460927
P37,116,28.24454072287384
P65,127,32.78146039056012
P66,124,27.3465875656187
P154,117,25.618327005435116
P160,118,27.299656376470054
G42,115,28.536841524054967
G45,114,28.39923635209144
G48,118,26.66629018409538
G07,122,30.217747565228446
G27,133,33.4004964628001
I01,109,27.144534303614165
I03,136,34.41621035230301
I05,113,26.948906153033988
I07,114,27.578087372020324
I08,122,30.921212413771386
I09,112,24.47974590227596
I11,120,25.6304578049574
I13,123,25.854197341811354
I15,113,25.859774704066453
I17,111,28.71669953745972
I19,105,25.959947786043447
I21,128,31.837992875995123
I22,137,27.475224017358382
I23,121,27.286003134590256
I25,115,27.026020658691174
I28,124,32.01433741999662
I29,133,29.55863137370484
I31,136,34.589989383203886
I33,131,32.89021589259668
I35,124,26.885690129157037
I39,126,32.84523443720877
I41,142,28.25279308844804
I43,120,29.41583222607873
I46,119,31.02764990619752
I47,124,28.563272479396304
I49,134,26.66751246999396
I51,138,31.542446408049184
I53,133,32.709599647212166
I55,164,32.73142707684505
I57,128,23.011697968281506
I59,124,30.932668992243322
I61,115,28.917310492115263
I63,153,33.97080810361602
II73,126,27.326024452125584
II75,124,26.72932031099413
II77,119,25.13259599695093
III67,127,26.554168670015198
III69,127,28.119060152189046
III71,126,28.481611241107824
IV79,137,28.434468208738565
IV81,135,30.970907735859896
