sample,richness,shannon
P66,124,27.346587565618677
I07,114,27.5780873720203
I22,137,27.47522401735837
2,80,18.716992389244243
4,74,21.229278234875892
10,74,23.606941537592583
13,73,20.39528923327665
16,80,22.28491024348953
19,68,20.60945350976006
25,71,21.292397342704646
28,87,24.67341981029128
34,91,26.936239840322123
37,93,23.05071077601385
40,68,19.873903903794865
43,75,24.510296306238875
46,55,19.097347405519216
49,79,25.57650376909212
52,66,27.41739423242033
55,66,21.26893222363329
58,51,20.11828969649012
61,68,21.19470169000527
64,89,24.986307892012384
67,89,24.560903449078527
70,88,21.55990287032823
73,85,24.19662798221335
76,82,23.007734090284576
79,79,21.148512700767
82,65,21.809728642325858
85,77,24.320724504263854
88,82,20.899544781735862
91,69,19.79467695639428
94,65,22.076819608873798
97,80,25.370719089274072
149,85,22.31522267382123
166,55,19.57748866679409
175,46,18.43384051274697
271,68,18.95852677814468
274,75,26.1757961403724
295,66,19.593526022051808
319,73,20.043768064851744
373,67,21.8429796835288
