sample,richness,shannon
F90,27,5.271417843561724
F93,29,7.980492180133229
F96,31,7.616647619763697
F99,24,5.586204301290333
F102,25,5.0295489968143965
F105,25,5.034015010623738
F108,27,5.927563326836167
P37,23,6.272054590066258
P65,25,6.412716031745038
P66,27,6.363074918135415
P154,24,4.94865612722356
P160,26,6.330859100647647
G42,26,6.92210390233783
G45,26,6.653312401340662
G48,25,6.961527176631877
G07,24,7.526731778203699
G27,25,7.514717265577075
I01,25,6.366038064589406
I03,26,7.3434627642714485
I05,25,6.5635894651438855
I07,26,6.782853141231987
I08,26,6.972893478317786
I09,24,6.409397589671234
I11,26,6.590324223453048
I13,26,6.600049767339092
I15,27,6.830173885976959
I17,25,6.546548691629221
I19,25,6.269710549832336
I21,23,6.351966409359639
I22,25,6.641346004859201
I23,23,6.256958907554512
I25,22,6.558468890035196
I28,23,6.943158920214285
I29,27,6.73986728309762
I31,28,7.431721029518169
I33,27,7.080765264801708
I35,24,6.645251138756597
I39,24,5.909197969563614
I41,29,6.753302229600752
I43,26,6.546489006620188
I46,23,7.036561275860794
I47,24,6.015015372024129
I49,28,6.793547791747876
I51,27,6.877989508231092
I53,28,6.952384232509256
I55,32,7.641213848570963
I57,28,7.206898087544409
I59,21,6.833917842536488
I61,24,6.800968568146224
I63,29,6.98692518541384
II73,27,6.813720276176573
II75,22,5.382902082131984
II77,26,6.227227814022664
III67,28,6.668974942728093
III69,25,6.8088484907849445
III71,26,6.792932607379303
IV79,27,6.406387063611429
IV81,26,6.461102654928233
