sample,richness,shannon
P66,27,6.3630749181354105
I07,26,6.782853141231987
I22,25,6.641346004859199
2,22,5.3132421270652275
4,23,5.613173394304095
10,21,5.509457580442773
13,20,5.191020142958987
16,26,5.89687249497146
19,20,5.504093642911537
25,20,5.385103154021284
28,25,6.159773171252099
34,25,6.477110916597642
37,25,5.781834831848365
40,23,5.23005129257328
43,19,6.083503202873124
46,16,5.150983170226429
49,23,6.002552333352205
52,17,5.5767990973050345
55,21,5.601074248569027
58,17,5.529609402137332
61,18,5.211158339622429
64,26,6.175825974334956
67,24,5.609612869567733
70,26,5.277848416231937
73,25,5.536392929356211
76,24,5.858372949851441
79,22,5.167913410949178
82,16,5.6033411486479885
85,21,6.041766225646658
88,24,5.5400944578920734
91,21,5.161413843819595
94,17,5.552603196128615
97,23,6.0978054870221605
149,23,5.596992981867266
166,18,5.425584095436989
175,13,5.4472595527870205
271,21,5.201873184077517
274,21,5.729724896001928
295,20,5.28467042367418
319,17,5.203088344825109
373,17,5.423842701570321
