sample,richness,shannon
2,92,23.927001121542883
4,89,25.686835870108045
10,97,32.09530813099298
13,79,23.777648917543665
16,92,23.806678413848918
19,82,25.117591285093432
25,82,25.893174969456428
28,90,27.511739639660195
34,95,29.289915036609997
37,106,25.36587683221808
40,73,19.966944150729045
43,87,26.34529920072267
46,67,23.822398190924215
49,92,33.98155089521038
52,73,34.21028834611988
55,76,25.256398865911255
58,61,22.90669086378032
61,76,24.821693007596235
64,102,29.548090378238918
67,98,28.52813675380105
70,97,23.95614903050892
73,97,29.461808345562954
76,91,26.078300325633833
79,90,25.658366741000062
82,76,28.81766353341038
85,92,32.814726269885206
88,91,23.244847898799062
91,79,22.179848826530634
94,79,29.566342745831353
97,90,33.0197850772707
149,93,25.61196837337063
166,63,24.36473623190117
175,52,22.368945568294897
271,75,20.793039419286877
274,93,34.46451008530453
295,76,20.64723184702197
319,86,24.768913204079933
373,72,27.67522860408701
9996,97,22.887356219249043
9997,86,29.15144510413818
9998,94,24.819325063210854
9999,89,26.826581078727955
