sample,Abditibacteria,ABY1,Acidimicrobiia,Acidobacteriae,Actinobacteria,AD3,Alphaproteobacteria,Anaerolineae,Armatimonadia,AT-s3-28,Babeliae,Bacilli,bacteriap25,Bacteroidia,Bathyarchaeia,BD2-11 terrestrial group,BD7-11,Bdellovibrionia,Berkelbacteria,Blastocatellia,BRH-c20a,Chlamydiae,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cyanobacteriia,Deferribacteres,Dehalococcoidia,Desulfitobacteriia,Desulfovibrionia,Desulfuromonadia,Dojkabacteria,Elusimicrobia,Endomicrobia,Entotheonellia,FFCH5909,Fibrobacteria,Fimbriimonadia,Gammaproteobacteria,Gemmatimonadetes,Gitt-GS-136,Gracilibacteria,Halanaerobiia,Holophagae,JG30-KF-CM66,Kapabacteria,KD4-96,Kryptonia,Ktedonobacteria,Latescibacteria,Leptospirae,Limnochordia,Lineage IIa,Lineage IIb,Lineage IIc,Longimicrobia,MB-A2-108,Methanobacteria,Methylomirabilia,Microgenomatia,Myxococcia,Nanoarchaeia,Negativicutes,Nitrososphaeria,Nitrospiria,OLB14,Oligoflexia,OM190,P2-11E,Parcubacteria,Phycisphaerae,Pla4 lineage,Planctomycetes,Polyangia,S0134 terrestrial group,Saccharimonadia,Sericytochromatia,SHA-26,Spirochaetia,Subgroup 11,Subgroup 18,Subgroup 22,Subgroup 25,Subgroup 5,Sulfobacillia,Sumerlaeia,Symbiobacteriia,Synergistia,Syntrophobacteria,Thermoanaerobaculia,Thermoleophilia,Thermoplasmata,TK10,Unclassified Class in Acidobacteriota,Unclassified Class in Actinobacteriota,Unclassified Class in Armatimonadota,Unclassified Class in Bdellovibrionota,Unclassified Class in Chloroflexi,Unclassified Class in Cyanobacteria,Unclassified Class in Desulfobacterota,Unclassified Class in Elusimicrobiota,Unclassified Class in FCPU426,Unclassified Class in Firmicutes,Unclassified Class in GAL15,Unclassified Class in Gemmatimonadota,Unclassified Class in Latescibacterota,Unclassified Class in Margulisbacteria,Unclassified Class in MBNT15,Unclassified Class in Myxococcota,Unclassified Class in NB1-j,Unclassified Class in Nitrospirota,Unclassified Class in Patescibacteria,Unclassified Class in Proteobacteria,Unclassified Class in RCP2-54,Unclassified Class in SAR324 clade(Marine group B),Unclassified Class in TX1A-33,Unclassified Class in WPS-2,Unclassified Class in WS4,vadinHA49,Vampirivibrionia,Verrucomicrobiae,Vicinamibacteria,WWE3
F90,0,0,1427,12941,4126,789,14719,2,0,0,41,31,0,351,0,0,4,30,0,52,0,8,33,0,3,0,17,0,14,0,0,0,0,14,0,0,0,0,11,4666,1342,0,0,0,203,108,5,9,0,434,0,0,0,80,0,2,0,0,0,96,0,683,0,0,26,19,0,17,0,0,6,0,0,150,1165,0,66,0,20,0,0,0,0,0,326,0,0,0,0,0,52,1354,17,254,7,0,0,0,0,7,56,0,15,0,67,0,23,0,0,3,18,2,0,0,758,0,0,375,0,0,17,789,840,0
F93,0,0,1427,2708,3326,96,11302,15,6,15,2,289,400,883,0,18,0,29,0,324,0,11,122,40,7,0,2,0,69,0,0,0,0,0,0,206,0,0,12,3124,922,12,0,0,379,118,0,452,0,805,23,0,0,33,7,0,7,239,0,1294,2,203,0,0,25,392,8,30,26,4,5,36,0,194,1179,0,58,0,0,0,50,20,67,15,598,0,0,0,0,0,78,3160,2,343,0,6,0,0,5,0,372,0,0,0,92,0,232,0,65,0,268,0,0,0,314,6,0,31,0,0,11,4338,3464,4
F96,0,3,1841,3969,3806,153,12651,10,13,11,8,234,284,920,4,7,0,44,0,353,0,10,100,16,5,0,0,0,66,0,0,0,0,7,0,134,0,6,16,3973,835,5,0,0,445,141,0,403,0,489,33,0,0,38,15,0,3,399,0,1215,0,354,0,0,147,274,19,58,0,0,14,96,3,243,1222,15,36,0,0,0,49,13,86,24,436,0,7,0,0,0,40,4348,2,347,8,13,3,0,7,0,444,2,0,0,57,0,235,0,176,0,354,0,2,0,342,10,0,45,0,0,7,5604,3305,0
F99,0,0,1784,7407,6066,6712,9524,10,5,0,4,642,0,175,166,0,0,2,0,27,0,0,305,95,24,0,10,0,9,0,0,0,0,0,0,10,0,0,14,1562,458,0,0,0,123,272,0,0,0,8069,0,0,0,16,0,0,0,39,0,53,0,502,0,0,217,0,0,18,0,4,0,2,0,0,314,0,31,17,20,0,0,0,0,0,140,0,0,0,0,0,22,4760,11,1736,0,0,57,0,263,5,5,0,0,4,581,7,0,0,0,0,0,0,7,0,35,0,0,940,0,0,11,196,638,0
F102,0,0,2069,8723,6839,756,15538,3,7,0,6,35,0,146,2,0,0,12,0,14,0,0,13,25,11,0,10,0,0,0,0,0,0,0,0,8,0,0,20,4545,574,0,0,0,24,48,11,9,0,643,0,0,0,17,0,0,0,0,0,25,0,242,0,0,164,7,2,29,0,0,0,64,0,209,560,0,26,0,9,0,0,0,0,0,144,2,0,0,0,0,189,2588,16,218,0,0,7,0,32,3,12,0,0,0,108,0,0,0,0,0,0,0,0,0,755,0,0,417,0,0,11,1608,530,0
F105,0,0,2390,16472,5455,570,17123,0,0,0,33,67,0,90,0,0,3,6,0,16,0,4,11,19,6,0,5,0,2,0,0,0,0,3,0,0,0,0,10,3996,785,0,0,0,62,106,2,12,0,1103,0,0,0,38,3,0,0,0,0,11,0,175,0,2,176,9,0,12,0,0,0,30,0,221,596,0,35,0,5,0,0,0,0,0,389,6,0,0,0,0,43,1866,45,363,0,0,3,0,15,0,16,0,15,0,260,0,0,0,0,0,0,0,0,3,813,0,0,1044,0,0,21,1230,1308,0
F108,0,0,2137,10194,5809,1543,13162,8,0,0,9,28,0,210,68,0,0,6,0,12,0,9,10,49,2,0,8,0,8,0,0,0,0,0,0,0,3,0,28,3932,728,0,0,0,51,115,0,45,0,3345,0,0,0,36,2,0,0,0,0,21,0,426,0,0,225,33,4,15,0,3,0,10,0,72,732,0,44,0,0,2,0,0,0,0,185,2,0,0,0,0,28,1863,70,329,5,3,0,0,19,0,25,0,0,0,177,0,0,0,0,0,15,0,3,5,1316,5,0,435,0,0,8,947,374,0
P37,0,0,1341,11364,7109,2030,8880,4,0,0,7,3169,0,203,5,0,0,8,0,128,0,0,160,3,59,0,6,0,5,0,0,0,0,0,0,0,0,0,0,3004,175,0,0,0,67,118,0,36,0,2107,0,0,0,12,0,0,0,7,0,51,2,57,0,0,40,0,0,27,0,0,0,8,0,553,327,0,27,7,5,0,0,0,0,0,448,0,0,0,0,0,9,3689,0,909,0,0,0,0,95,2,13,0,4,0,132,0,0,0,0,0,0,0,0,0,155,0,0,956,0,0,8,1569,747,0
P65,0,0,1229,10525,6940,3576,8449,0,0,0,9,719,0,377,134,0,0,4,0,45,0,4,127,51,29,0,27,0,2,0,0,0,0,0,0,2,0,0,6,4103,566,0,0,0,67,56,0,4,0,4752,0,0,0,8,5,0,0,17,0,48,0,595,0,0,139,0,0,37,0,0,0,61,0,587,387,0,83,9,9,0,0,0,0,0,183,0,0,0,0,0,32,3914,9,997,0,0,31,0,161,0,5,0,7,0,83,0,0,0,0,0,0,0,2,3,232,0,0,773,0,0,10,1057,427,0
P66,0,0,1477,9351,5793,9414,6032,9,6,0,11,348,0,283,289,0,0,2,0,45,0,4,146,84,10,0,20,0,3,0,0,0,0,0,0,12,4,0,8,1733,789,0,0,0,85,91,0,0,0,5050,0,0,0,20,0,4,0,16,0,68,0,494,0,0,187,3,0,9,0,7,2,65,0,345,448,0,51,7,12,0,0,0,0,0,111,0,0,0,0,0,78,3522,11,1063,0,0,93,0,207,12,8,0,6,0,516,0,0,0,0,0,10,0,0,0,180,0,0,924,0,0,3,811,462,0
