"sample","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","Alphaproteobacteria","Anaerolineae","Armatimonadia","Babeliae","Bacilli","Bacteroidia","Bathyarchaeia","Bdellovibrionia","Blastocatellia","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Cyanobacteriia","Deferribacteres","Dehalococcoidia","Desulfitobacteriia","Elusimicrobia","Entotheonellia","FFCH5909","Fimbriimonadia","Gammaproteobacteria","Gemmatimonadetes","Holophagae","JG30.KF.CM66","KD4.96","Ktedonobacteria","Lineage.IIa","Lineage.IIb","Lineage.IIc","MB.A2.108","Methylomirabilia","Myxococcia","Nitrososphaeria","Nitrospiria","Oligoflexia","P2.11E","Parcubacteria","Phycisphaerae","Planctomycetes","Polyangia","Saccharimonadia","Sericytochromatia","SHA.26","Subgroup.5","Symbiobacteriia","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","Unclassified.Class.in.Armatimonadota","Unclassified.Class.in.Chloroflexi","Unclassified.Class.in.Cyanobacteria","Unclassified.Class.in.Desulfobacterota","Unclassified.Class.in.FCPU426","Unclassified.Class.in.GAL15","Unclassified.Class.in.Latescibacterota","Unclassified.Class.in.NB1.j","Unclassified.Class.in.Patescibacteria","Unclassified.Class.in.RCP2.54","Unclassified.Class.in.WPS.2","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria","bacteriap25","Chitinivibrionia","Gitt.GS.136","Ignavibacteria","Kapabacteria","Limnochordia","Longimicrobia","Pla4.lineage","Spirochaetia","Syntrophobacteria","Unclassified.Class.in.Firmicutes","Unclassified.Class.in.Margulisbacteria","Unclassified.Class.in.Myxococcota","Unclassified.Class.in.Proteobacteria","Unclassified.Class.in.SAR324.clade.Marine.group.B.","Unclassified.Class.in.TX1A.33"
"P66",0.0290439296810477,0.183879340858143,0.113914343021198,0.185118181460652,0.118614071656114,0.00017697722892987,0.00011798481928658,0.0002163055020254,0.00684311951862194,0.00556495064301727,0.00568293546230385,3.93282730955284e-05,0.00088488614464938,7.86565461910568e-05,0.00287096393597357,0.00165178747001219,0.00019664136547764,0.00039328273095528,0,5.89924096432926e-05,0,0,0.00023596963857317,7.86565461910568e-05,0.00015731309238211,0.0340779486372753,0.0155150037361859,0.00167145160655996,0.00178943642584654,0,0.0993038895662091,0.00039328273095528,0,7.86565461910568e-05,0.00031462618476422,0.00133716128524796,0.00971408345459551,0.0036771935344319,5.89924096432926e-05,0.00017697722892987,0.00013764895583434,3.93282730955284e-05,0.00127816887560467,0.00678412710897864,0.00880953317339836,0.00100287096393597,0.00013764895583434,0.00023596963857317,0.00218271915680182,0,0.00153380265072561,0.0692570889212255,0.0002163055020254,0.0209029771502733,0.00182876469894207,0.00407047626538719,0.00023596963857317,0.00015731309238211,0.00011798481928658,0.0101466944586463,0,0.00019664136547764,0,0.00353954457859755,0.0181696621701341,5.89924096432926e-05,0.0159476147402368,0.00908483108506705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I07",0.0215425160221215,0.172180406093397,0.115858406372911,0.0892047836764031,0.203925170203845,9.98263022341126e-05,0,0,0.0139756823127758,0.00137760297083075,0.00489148880947152,5.98957813404676e-05,0.00161718609619262,0,0.00269531016032104,0.00049913151117056,0.0005390620320642,0.00011979156268093,3.99305208936451e-05,0.00011979156268093,0,0,0,0,0,0.0303871264000639,0.00481162776768423,0.0022161439095973,0.00215624812825683,0.00071874937608561,0.0980094635334518,3.99305208936451e-05,0,0,0.00037933994848962,0.00173697765887356,0.00896440194062332,0.00576996026913171,0,0.00021961786491504,0,0,0.00043923572983009,0.00840537464811228,0.00854513147124004,0.00161718609619262,0.00021961786491504,0.0001796873440214,0.00547048136242937,7.98610417872901e-05,0,0.0540459600295486,0.00011979156268093,0.0222612653982071,0.0005390620320642,0.00269531016032104,0,0.00023958312536187,3.99305208936451e-05,0.00563020344600395,0.00119791562680935,3.99305208936451e-05,0,0.00798610417872901,0.0211631760736319,0.00033940942759598,0.046459161059756,0.0281310519695729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I22",0.0203667126299706,0.262736183058175,0.085622181642008,0.0957403197555249,0.203592591212313,9.31688592404875e-05,0,0.00011180263108858,0.0309320612678418,0.00346588156374613,0.0007080833302277,3.7267543696195e-05,0.00042857675250624,0.00014907017478478,0.00199381358774643,0,0.00106212499534156,0.00029814034956956,0,0.00014907017478478,9.31688592404875e-05,0.00011180263108858,0,5.59013155442925e-05,0.00022360526217717,0.0498453396936608,0.00933551969589684,0.00348451533559423,0.00229195393731599,0.00016770394663287,0.0275779823351843,0.00018633771848097,7.453508739239e-05,9.31688592404875e-05,0.00026087280587336,0.00128573025751873,0.00970819513285879,0.00111802631088585,0,0.00115529385458204,9.31688592404875e-05,9.31688592404875e-05,0.00013043640293668,0.00624231356911266,0.0118883464390862,0.00229195393731599,0.00018633771848097,0,0.00570193418551783,7.453508739239e-05,0.00011180263108858,0.0646778220847464,0.00035404166511385,0.00913054820556777,0,0.00087578727686058,0.00027950657772146,0.00014907017478478,0.00042857675250624,0.00469571050572057,0,0.00024223903402526,0.00014907017478478,0.00585100436030261,0.0313047367048038,0.00035404166511385,0.0248760854172102,0.0152610591435918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.0223426530360882,0.36445375046188,0.0776819805394753,0.0304778913659318,0.2609311491563,0.00012316787781746,0,4.31087572361128e-05,0.0338465328242394,0.00207537874122429,0,0,0.00056041384406946,0,0,0,0.00107771893090282,0,0,0,0,0,0.00012316787781746,0,0,0.0372336494642197,0.00302377140041877,0.00097302623475797,0.00096070944697622,0,0.0224781377016874,0.00046803793570636,5.54255450178593e-05,0,0,0.00062815617686907,0.00517305086833354,0.00012932627170833,0,7.39007266904791e-05,0,0,0.00028328611898017,0.00193989407562508,0.00501293262717083,0.0022108634068235,0.00030176130065279,0,0.005296218746151,0,0,0.0340559182165291,0,0.0106232294617564,0,0.00102229338588496,0,0.00033871166399802,0,0.00266658455474812,0,0,0,0.00450178593422835,0.031050621997783,0,0.0304286242148048,0.00506219977829782,0,0,0.00020938539228969,0,0,0,6.15839389087326e-05,0,0,0,0,0,0,0,0,0
"4",0.0146618791143028,0.397602596884464,0.0744156103222531,0.0499066064595688,0.195192499501297,0,0,0,0.0130297589902617,0.00444299367100085,0,0,0.00222149683550043,0,0,0,0,0,0,0,0,0,0,0,0.00039896269698783,0.0523003826414957,0.0050233030484377,0.00100647407649203,0,0,0.0375750321890358,0,0,0,0,0.0018588034746024,0.0229312877427779,0.00013601001033676,0.00012694267631431,0.00035362602687557,0,0,0.00029015468871842,0.00190414014471465,0.00874090999764249,0.00296501822534139,0.0007163193877736,0,0.0025025841901964,0,0,0.0296411149193914,0,0.00706345320348911,0,0.0006619153836389,0,0.00052590537330214,0.00028108735469597,0.00364506827702519,0,0.00085232939811036,0,0.00565801643000925,0.0304753096494569,0,0.0262045953248826,0.00456993634731516,0,0,0,0,0,0,0,0.00011787534229185,0,0,0,0,0,0,0,0
"10",0.0145936468646865,0.338428217821782,0.104269801980198,0.0222462871287129,0.272277227722772,0.00021658415841584,0,0,0.0437396864686469,0.00634282178217822,0,0,0.00443481848184818,3.09405940594059e-05,0,0,0.00241336633663366,6.18811881188119e-05,0,0.00027846534653465,0,0,0,0,0.00034034653465346,0.0382838283828383,0.00313531353135314,0.00233085808580858,0.0005569306930693,0.00067037953795379,0.0225350660066007,0,0,0,0,0.00241336633663366,0.0087046204620462,0,0,0,0,0,0,0.00089727722772277,0.00981848184818482,0.00555899339933993,0.00045379537953795,0,0.00536303630363036,0,0,0.0203898514851485,0.00014438943894389,0.00691006600660066,0,0,0,0.00234117161716172,0,0.00089727722772277,0.00059818481848184,0.00043316831683168,0,0.00478547854785479,0.0100041254125413,0,0.0363448844884488,0.00663160066006601,0,0,0,0,0.00012376237623762,0,0,0,0,0,0,0,0,0,0,0
"13",0.0194681558545673,0.381965764469021,0.0712405141706675,0.042826298863978,0.24109721323871,0.00033707148648525,0,0,0.0159972305477867,0.00392642731554446,0,0,0.00027330120525831,7.28803214022174e-05,0,0,0.00016398072315498,0,0,0,0,0,0,0,0.00041906184806275,0.0567191101312757,0.0039901975967714,0.00145760642804435,0.00053749237034135,0,0.0179194490247702,0,0,0,0,0.00112964498173437,0.0146398345616704,0,0,0,0,5.4660241051663e-05,0.00022775100438192,0.00073791325419745,0.00829924659967751,0.00185844819575654,0,0,0.00383532691379169,0,0,0.0310287968369941,0.00012754056245388,0.00987528355000046,0,0.00183111807523071,0,0,0.00039173172753691,0.00429082892255555,0,0.00018220080350554,0,0.00414506827975111,0.0340351100948355,0.00044639196858858,0.0180196594666982,0.0059852963951571,0.00025508112490776,0,0,0,0.00019131084368082,0,0,0,0,0,0,0,0,0,0,0
"16",0.0148874161050316,0.382350880634449,0.0596547520632207,0.0810646078829744,0.18246717762614,0.00015412854320503,0,7.00584287295605e-05,0.0108800739817007,0.00480600821084785,0,0.00030825708641006,0.00049040900110692,9.10759573484286e-05,9.80818002213846e-05,0,0,0,0,0,0,0,0,0,0.00020316944331572,0.0476327256932281,0.00844204066191204,0.00186355420420631,0,0,0.0415726716081212,0.00065154338718491,0,0,0,0.00253611512001009,0.0207443007468229,0.00020316944331572,0.00088974204486541,0.00106488811668932,0,0,0.00024520450055346,0.00107889980243523,0.00647339881461139,0.00268323782034217,0.00086872451624655,0,0.00240300410542392,0,0,0.0280794182348078,6.30525858566044e-05,0.0101234429514215,0,0.00186355420420631,0,0.0005254382154717,0,0.00743319928820636,0,0.00068657260154969,0,0.00453978618167552,0.0463646681332231,0.00066555507293082,0.0147683167761913,0.00533845226919251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248006837702644,0,0.00018915775756981
"19",0.0242184484754921,0.338989358769366,0.106853393615262,0.0913464189226443,0.208813475216408,5.51359100181949e-05,0,6.89198875227436e-05,0.0116474609913437,0.00275679550090974,0,0.00019297568506368,0.00034459943761371,0,0,0,0.00062027898770469,0.00017919170755913,0,0.00015162375255003,0,0,8.27038650272923e-05,0,0.00044108728014555,0.0359072613993494,0.00682306886475161,0.00027567955009097,0.0010475822903457,0,0.0238324971053647,0.0004824392126592,0,0,0,0.00151623752550036,0.0100347356233115,0,0,6.89198875227436e-05,0,0,0,0,0.00651982135965154,0.00384572972376909,6.89198875227436e-05,0,0.00290841925345978,0,0,0.0460936207752109,0,0.0133704581794123,0,0.00226057231074599,0,0,0,0.00474168826156476,0,0,0,0.00170921321056404,0.0365964602745768,0,0.0100623035783206,0.00507250372167393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0.0314617937076413,0.321348335730333,0.123788575242285,0.0797119840576032,0.197240160551968,0.000234999953,0,0,0.0106313978737204,0.0025003994999201,0,0,0.00042299991540001,0,0,0,0,0,0,0,0,0,9.39999812000038e-05,0,0,0.050421589915682,0.00529219894156021,0.00061099987780002,0.00070499985900002,0,0.0220241955951609,0,0,0,0,0.00084599983080003,0.0074541985091603,0.00027259994548001,0,8.45999830800034e-05,0,0,0.000234999953,0,0.00642959871408026,0.00225599954880009,0.00022559995488,0,0.00349679930064014,0,0.00045119990976001,0.0557231888553622,0,0.0115619976876005,0,0.00181419963716007,0,0,0,0.00384459923108015,0,0.00037599992480001,0,0.00273539945292011,0.0417077916584417,0,0.00912739817452037,0.00486919902616019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
