sample,Abditibacteria,ABY1,Acidimicrobiia,Acidobacteriae,Actinobacteria,AD3,Alphaproteobacteria,Anaerolineae,Armatimonadia,AT.s3.28,Babeliae,Bacilli,bacteriap25,Bacteroidia,Bathyarchaeia,BD2.11.terrestrial.group,BD7.11,Bdellovibrionia,Berkelbacteria,Blastocatellia,BRH.c20a,Chlamydiae,Chloroflexia,Chthonomonadetes,Clostridia,Coriobacteriia,Cyanobacteriia,Deferribacteres,Dehalococcoidia,Desulfitobacteriia,Desulfovibrionia,Desulfuromonadia,Dojkabacteria,Elusimicrobia,Endomicrobia,Entotheonellia,FFCH5909,Fibrobacteria,Fimbriimonadia,Gammaproteobacteria,Gemmatimonadetes,Gitt.GS.136,Gracilibacteria,Halanaerobiia,Holophagae,JG30.KF.CM66,Kapabacteria,KD4.96,Kryptonia,Ktedonobacteria,Latescibacteria,Leptospirae,Limnochordia,Lineage.IIa,Lineage.IIb,Lineage.IIc,Longimicrobia,MB.A2.108,Methanobacteria,Methylomirabilia,Microgenomatia,Myxococcia,Nanoarchaeia,Negativicutes,Nitrososphaeria,Nitrospiria,OLB14,Oligoflexia,OM190,P2.11E,Parcubacteria,Phycisphaerae,Pla4.lineage,Planctomycetes,Polyangia,S0134.terrestrial.group,Saccharimonadia,Sericytochromatia,SHA.26,Spirochaetia,Subgroup.11,Subgroup.18,Subgroup.22,Subgroup.25,Subgroup.5,Sulfobacillia,Sumerlaeia,Symbiobacteriia,Synergistia,Syntrophobacteria,Thermoanaerobaculia,Thermoleophilia,Thermoplasmata,TK10,Unclassified.Class.in.Acidobacteriota,Unclassified.Class.in.Actinobacteriota,Unclassified.Class.in.Armatimonadota,Unclassified.Class.in.Bdellovibrionota,Unclassified.Class.in.Chloroflexi,Unclassified.Class.in.Cyanobacteria,Unclassified.Class.in.Desulfobacterota,Unclassified.Class.in.Elusimicrobiota,Unclassified.Class.in.FCPU426,Unclassified.Class.in.Firmicutes,Unclassified.Class.in.GAL15,Unclassified.Class.in.Gemmatimonadota,Unclassified.Class.in.Latescibacterota,Unclassified.Class.in.Margulisbacteria,Unclassified.Class.in.MBNT15,Unclassified.Class.in.Myxococcota,Unclassified.Class.in.NB1.j,Unclassified.Class.in.Nitrospirota,Unclassified.Class.in.Patescibacteria,Unclassified.Class.in.Proteobacteria,Unclassified.Class.in.RCP2.54,Unclassified.Class.in.SAR324.clade.Marine.group.B.,Unclassified.Class.in.TX1A.33,Unclassified.Class.in.WPS.2,Unclassified.Class.in.WS4,vadinHA49,Vampirivibrionia,Verrucomicrobiae,Vicinamibacteria,WWE3
F90,0,0,0.0293078660915999,0.265783528445266,0.0847401930581228,0.0162045594577942,0.302300266995276,4.10761963442185e-5,0,0,8.4206202505648e-4,6.3668104333538e-4,0,0.00720887245841035,0,0,8.2152392688437e-5,6.1614294516327e-4,0,0.00106798110494968,0,1.6430478537687e-4,6.777572396796e-4,0,6.16142945163278e-5,0,3.4914766892585e-4,0,2.8753337440953e-4,0,0,0,0,2.8753337440953e-4,0,0,0,0,2.259190798932e-4,0.0958307660710618,0.0275621277469706,0,0,0,0.00416923392893818,0.0022181146025878,1.0269049086054e-4,1.8484288354898e-4,0,0.00891353460669542,0,0,0,0.00164304785376874,0,4.10761963442185e-5,0,0,0,0.00197165742452249,0,0.0140275210515506,0,0,5.3399055247484e-4,3.9022386527007e-4,0,3.4914766892585e-4,0,0,1.2322858903265e-4,0,0,0.00308071472581639,0.0239268843705073,0,0.00135551447935921,0,4.1076196344218e-4,0,0,0,0,0,0.00669542000410762,0,0,0,0,0,0.00106798110494968,0.0278085849250359,3.4914766892585e-4,0.00521667693571575,1.4376668720476e-4,0,0,0,0,1.4376668720476e-4,0.00115013349763812,0,3.0807147258163e-4,0,0.00137605257753132,0,4.7237625795851e-4,0,0,6.16142945163278e-5,3.6968576709796e-4,4.10761963442185e-5,0,0,0.0155678784144588,0,0,0.00770178681454097,0,0,3.4914766892585e-4,0.0162045594577942,0.0172520024645718,0
F93,0,0,0.0321201071420533,0.060953924415333,0.0748643842708263,0.00216084813289216,0.254394849978617,3.376325207644e-4,1.3505300830576e-4,3.376325207644e-4,4.50176694352533e-5,0.00650505323339411,0.00900353388705067,0.0198753010556643,0,4.0515902491728e-4,0,6.5275620681117e-4,0,0.00729286244851104,0,2.4759718189389e-4,0.00274607783555045,9.0035338870506e-4,1.5756184302338e-4,0,4.50176694352533e-5,0,0.00155310959551624,0,0,0,0,0,0,0.00463681995183109,0,0,2.7010601661152e-4,0.0703175996578657,0.0207531456096518,2.7010601661152e-4,0,0,0.00853084835798051,0.00265604249667995,0,0.0101739932923673,0,0.0181196119476895,5.1770319850541e-4,0,0,7.4279154568168e-4,1.5756184302338e-4,0,1.5756184302338e-4,0.00537961149751277,0,0.0291264321246089,4.50176694352533e-5,0.00456929344767821,0,0,5.6272086794066e-4,0.00882346320930965,1.8007067774101e-4,6.752650415288e-4,5.8522970265829e-4,9.00353388705067e-5,1.1254417358813e-4,8.1031804983456e-4,0,0.00436671393521957,0.0265379161320818,0,0.00130551241362235,0,0,0,0.00112544173588133,4.5017669435253e-4,0.00150809192608099,3.376325207644e-4,0.0134602831611407,0,0,0,0,0,0.00175568910797488,0.0711279177077003,4.50176694352533e-5,0.00772053030814595,0,1.3505300830576e-4,0,0,1.1254417358813e-4,0,0.00837328651495712,0,0,0,0.00207081279402165,0,0.00522204965448939,0,0.00146307425664573,0,0.00603236770432395,0,0,0,0.00706777410133477,1.3505300830576e-4,0,6.9777387624642e-4,0,0,2.4759718189389e-4,0.0976433250050645,0.0779706034618588,9.00353388705067e-5
F96,0,5.86946313977148e-5,0.0360189388010643,0.0776529973391767,0.0744639223665675,0.00299342620128346,0.247515260604163,1.9564877132571e-4,2.5434340272343e-4,2.1521364845828e-4,1.5651901706057e-4,0.00457818124902176,0.00555642510565034,0.0179996869619659,7.82595085302864e-5,1.36954139928e-4,0,8.6085459383315e-4,0,0.00690640162779778,0,1.9564877132571e-4,0.00195648771325716,3.1303803412114e-4,9.7824385662858e-5,0,0,0,0.00129128189074973,0,0,0,0,1.36954139928e-4,0,0.0026216935357646,0,1.1738926279543e-4,3.1303803412114e-4,0.077731256847707,0.0163366724056973,9.7824385662858e-5,0,0,0.00870637032399437,0.0027586476756926,0,0.00788464548442636,0,0.00956722491782752,6.4564094537486e-4,0,0,7.4346533103772e-4,2.9347315698857e-4,0,5.86946313977148e-5,0.00780638597589607,0,0.0237713257160745,0,0.00692596650493035,0,0,0.00287603693848803,0.00536077633432462,3.7173266551886e-4,0.00113476287368915,0,0,2.73908279856e-4,0.00187822820472687,5.86946313977148e-5,0.0047542651432149,0.0239082798560025,2.9347315698857e-4,7.0433557677257e-4,0,0,0,9.58678979496e-4,2.5434340272343e-4,0.00168257943340116,4.6955705118171e-4,0.00853028642980122,0,1.36954139928e-4,0,0,0,7.8259508530286e-4,0.0850680857724214,3.91297542651432e-5,0.00678901236500235,1.5651901706057e-4,2.5434340272343e-4,5.86946313977148e-5,0,1.36954139928e-4,0,0.00868680544686179,3.91297542651432e-5,0,0,0.00111519799655658,0,0.00459774612615433,0,0.0034434183753326,0,0.00692596650493035,0,3.91297542651432e-5,0,0.00669118797933949,1.9564877132571e-4,0,8.8041947096572e-4,0,0,1.36954139928e-4,0.109641571450931,0.0646619189231492,0
F99,0,0,0.032960130066881,0.136847356168939,0.112071832391087,0.124006946753871,0.175959797509515,1.8475409230314e-4,9.23770461515723e-5,0,7.39016369212578e-5,0.0118612127258619,0,0.00323319661530503,0.0030669179322322,0,0,3.69508184606289e-5,0,4.9883604921849e-4,0,0,0.00563499981524591,0.00175516387687987,4.4340982152754e-4,0,1.8475409230314e-4,0,1.6627868307283e-4,0,0,0,0,0,0,1.8475409230314e-4,0,0,2.586557292244e-4,0.0288585892177512,0.00846173742748402,0,0,0,0.00227247533532868,0.00502531131064553,0,0,0,0.149078077079407,0,0,0,2.9560654768503e-4,0,0,0,7.2054095998226e-4,0,9.7919668920666e-4,0,0.00927465543361785,0,0,0.00400916380297824,0,0,3.3255736614566e-4,0,7.39016369212578e-5,0,3.69508184606289e-5,0,0,0.00580127849831874,0,5.7273768613974e-4,3.1408195691534e-4,3.6950818460628e-4,0,0,0,0,0,0.00258655729224402,0,0,0,0,0,4.0645900306691e-4,0.0879429479362968,2.0322950153345e-4,0.0320733104238259,0,0,0.00105309832612792,0,0.0048590326275727,9.23770461515723e-5,9.23770461515723e-5,0,0,7.39016369212578e-5,0.0107342127628127,1.293278646122e-4,0,0,0,0,0,0,1.293278646122e-4,0,6.46639323061e-4,0,0,0.0173668846764956,0,0,2.0322950153345e-4,0.00362118020914163,0.0117873110889406,0
F102,0,0,0.0430279713008215,0.181407923468857,0.142227305812623,0.0157221586773422,0.323136113132994,6.23895185608818e-5,1.4557554330872e-4,0,1.2477903712176e-4,7.2787771654362e-4,0,0.00303628990329625,4.15930123739212e-5,0,0,2.4955807424352e-4,0,2.9115108661744e-4,0,0,2.7035458043048e-4,5.1991265467401e-4,2.2876156805656e-4,0,2.079650618696e-4,0,0,0,0,0,0,0,0,1.6637204949568e-4,0,0,4.1593012373921e-4,0.0945201206197359,0.0119371945513154,0,0,0,4.9911614848705e-4,9.982322969741e-4,2.2876156805656e-4,1.8716855568264e-4,0,0.0133721534782157,0,0,0,3.5354060517833e-4,0,0,0,0,0,5.1991265467401e-4,0,0.00503275449724446,0,0,0.00341062701466154,1.4557554330872e-4,4.15930123739212e-5,6.0309867942185e-4,0,0,0,0.00133097639596548,0,0.00434646979307476,0.0116460434646979,0,5.4070916086097e-4,0,1.8716855568264e-4,0,0,0,0,0,0.00299469689092232,4.15930123739212e-5,0,0,0,0,0.00393053966933555,0.053821358011854,3.3274409899136e-4,0.00453363834875741,0,0,1.4557554330872e-4,0,6.6548819798273e-4,6.23895185608818e-5,2.4955807424352e-4,0,0,0,0.00224602266819174,0,0,0,0,0,0,0,0,0,0.0157013621711552,0,0,0.00867214307996257,0,0,2.2876156805656e-4,0.0334407819486326,0.0110221482790891,0
F105,0,0,0.0418534603530401,0.288456150182124,0.0955274586718969,0.00998178761557859,0.2998564023536,0,0,0,5.778929672177e-4,0.00117329784253292,0,0.00157607172877557,0,0,5.25357242925189e-5,1.0507144858503e-4,0,2.801905295601e-4,0,7.00476323900252e-5,1.9263098907256e-4,3.3272625385262e-4,1.0507144858503e-4,0,8.75595404875315e-5,0,3.50238161950126e-5,0,0,0,0,5.25357242925189e-5,0,0,0,0,1.7511908097506e-4,0.0699775847576352,0.0137468478565424,0,0,0,0.00108573830204539,0.00185626225833567,3.50238161950126e-5,2.1014289717007e-4,0,0.0193156346315495,0,0,0,6.6545250770524e-4,5.25357242925189e-5,0,0,0,0,1.9263098907256e-4,0,0.0030645839170636,0,3.50238161950126e-5,0.00308209582516111,1.5760717287755e-4,0,2.1014289717007e-4,0,0,0,5.2535724292518e-4,0,0.00387013168954889,0.0104370972261138,0,6.1291678341272e-4,0,8.75595404875315e-5,0,0,0,0,0,0.00681213224992995,1.0507144858503e-4,0,0,0,0,7.5301204819277e-4,0.0326772205099468,7.8803586438778e-4,0.00635682263939479,0,0,5.25357242925189e-5,0,2.6267862146259e-4,0,2.801905295601e-4,0,2.6267862146259e-4,0,0.00455309610535164,0,0,0,0,0,0,0,0,5.25357242925189e-5,0.0142371812832726,0,0,0.0182824320537966,0,0,3.6775007004763e-4,0.0215396469599328,0.0229055757915382,0
F108,0,0,0.0436496588912946,0.208219290003677,0.118652722741942,0.0315168103272193,0.268842681482087,1.6340536786633e-4,0,0,1.8383103884962e-4,5.7191878753217e-4,0,0.00428939090649128,0.00138894562686384,0,0,1.2255402589975e-4,0,2.451080517995e-4,0,1.8383103884962e-4,2.0425670983291e-4,0.0010008578781813,4.08513419665836e-5,0,1.6340536786633e-4,0,1.6340536786633e-4,0,0,0,0,0,0,0,6.12770129498754e-5,0,5.7191878753217e-4,0.0803137383063034,0.0148698884758364,0,0,0,0.00104170922014788,0.00234895216307856,0,9.1915519424813e-4,0,0.0683238694391111,0,0,0,7.353241553985e-4,4.08513419665836e-5,0,0,0,0,4.2893909064912e-4,0,0.00870133583888231,0,0,0.00459577597124066,6.7404714244862e-4,8.17026839331672e-5,3.0638506474937e-4,0,6.12770129498754e-5,0,2.0425670983291e-4,0,0.00147064831079701,0.0149515911597696,0,8.9872952326483e-4,0,0,4.08513419665836e-5,0,0,0,0,0.00377874913190898,4.08513419665836e-5,0,0,0,0,5.7191878753217e-4,0.0380530250418726,0.00142979696883043,0.006720045753503,1.0212835491645e-4,6.12770129498754e-5,0,0,3.8808774868254e-4,0,5.1064177458229e-4,0,0,0,0.00361534376404265,0,0,0,0,0,3.0638506474937e-4,0,6.12770129498754e-5,1.0212835491645e-4,0.026880183014012,1.0212835491645e-4,0,0.00888516687773193,0,0,1.6340536786633e-4,0.0193431104211773,0.00763920094775113,0
P37,0,0,0.0269023211025739,0.227977611491163,0.142616406202981,0.0407246173290268,0.178145124079684,8.0245551387245e-5,0,0,1.4042971492767e-4,0.0635745380865448,0,0.00407246173290268,1.0030693923405e-4,0,0,1.6049110277449e-4,0,0.00256785764439184,0,0,0.0032098220554898,6.01841635404337e-5,0.00118362188296186,0,1.2036832708086e-4,0,1.0030693923405e-4,0,0,0,0,0,0,0,0,0,0,0.060264409091821,0.00351074287319197,0,0,0,0.00134411298573635,0.00236724376592373,0,7.222099624852e-4,0,0.0422693441932313,0,0,0,2.4073665416173e-4,0,0,0,1.4042971492767e-4,0,0.00102313078018737,4.01227756936225e-5,0.00114349910726824,0,0,8.0245551387245e-4,0,0,5.416574718639e-4,0,0,0,1.6049110277449e-4,0,0.0110939474792866,0.00656007382590728,0,5.416574718639e-4,1.4042971492767e-4,1.0030693923405e-4,0,0,0,0,0,0.00898750175537144,0,0,0,0,0,1.805524906213e-4,0.0740064597668867,0,0.0182358015527514,0,0,0,0,0.00190583184544707,4.01227756936225e-5,2.6079804200854e-4,0,8.0245551387245e-5,0,0.00264810319577908,0,0,0,0,0,0,0,0,0,0.00310951511625574,0,0,0.0191786867815515,0,0,1.6049110277449e-4,0.0314763175316468,0.014985856721568,0
P65,0,0,0.023765324670302,0.203523223885215,0.13419963646208,0.0691495533124492,0.163379355687048,0,0,0,1.7403411068569e-4,0.013903391731446,0,0.00729009552538964,0.00259117453687589,0,0,7.73484936380864e-5,0,8.7017055342847e-4,0,7.73484936380864e-5,0.00245581467300924,9.861932938856e-4,5.6077657887612e-4,0,5.2210233205708e-4,0,3.86742468190432e-5,0,0,0,0,0,0,3.86742468190432e-5,0,0,1.1602274045713e-4,0.0793402173492671,0.0109448118497892,0,0,0,0.00129558726843795,0.00108287891093321,0,7.73484936380864e-5,0,0.0918900104420466,0,0,0,1.5469698727617e-4,9.6685617047608e-5,0,0,3.2873109796186e-4,0,9.2818192365703e-4,0,0.0115055884286654,0,0,0.0026878601539235,0,0,7.1547356615229e-4,0,0,0,0.00117956452798082,0,0.0113508914413892,0.00748346675948486,0,0.00160498124299029,1.7403411068569e-4,1.7403411068569e-4,0,0,0,0,0,0.00353869358394245,0,0,0,0,0,6.1878794910469e-4,0.0756855010248675,1.7403411068569e-4,0.019279112039293,0,0,5.9945082569517e-4,0,0.00311327686893298,0,9.6685617047608e-5,0,1.3535986386665e-4,0,0.00160498124299029,0,0,0,0,0,0,0,3.86742468190432e-5,5.80113702285648e-5,0.00448621263100901,0,0,0.0149475963955602,0,0,1.9337123409521e-4,0.0204393394438643,0.00825695169586572,0
P154,0,0,0.0443829180300361,0.178664317476298,0.11389378303549,0.0164653074922393,0.328760802080711,0,0,0,1.4682439801996e-4,0.00140531923819112,0,0.00591492574880443,2.7267388203708e-4,0,0,0,0,0,0,4.19498280057052e-5,4.6144810806275e-4,0,0.00381743434851917,0,3.9852336605419e-4,0,0,0,5.2437285007131e-4,8.38996560114104e-5,0,1.0487457001426e-4,6.29247420085578e-5,0,0,0,0,0.130359090527729,0.0120815504656431,0,0,0,0,0.00134239449618257,1.0487457001426e-4,1.6779931202282e-4,0,0.00409010823055625,0,0,0,0.00111167044215119,0,0,0,0,0,1.6779931202282e-4,0,0.00201359174427385,0,0,0.00409010823055625,0,0,1.4682439801996e-4,0,0,2.3072405403137e-4,0,0,0.00102777078613978,0.00868361439718097,0,9.2289621612551e-4,0,1.4682439801996e-4,0.00121654501216545,0,0,0,0,0.00388035909052773,4.404731940599e-4,0,0,0,0,8.5997147411695e-4,0.0440473194059904,0.00142629415219398,0.00492910479067036,0,0,0,0,3.5657353804849e-4,0,3.5657353804849e-4,0,5.6632267807702e-4,1.0487457001426e-4,0.005264703414716,0,0,0,0,0,0,0,4.19498280057052e-5,0,0.0390133400453058,0,0,0.018919372430573,0,1.0487457001426e-4,2.3072405403137e-4,0.0040691333165534,0.0120815504656431,0
