sample,Abditibacteriota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacterota,Dependentiae,Desulfobacterota,Elusimicrobiota,Entotheonellaeota,Euryarchaeota,FCPU426,Fibrobacterota,Firmicutes,GAL15,Gemmatimonadota,Halanaerobiaeota,Latescibacterota,Margulisbacteria,MBNT15,Methylomirabilota,Myxococcota,Nanoarchaeota,NB1-j,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,RCP2-54,SAR324 clade(Marine group B),Spirochaetota,Sumerlaeota,Synergistota,Thermoplasmatota,TX1A-33,Verrucomicrobiota,WPS-2,WS4
F90,0,14421,6907,11,356,47,1663,26,41,0,41,56,96,0,0,15,0,34,67,1342,0,23,0,0,96,1851,0,18,21,72,154,19385,758,0,0,0,0,17,0,797,375,0
F93,0,7718,8158,58,883,59,2049,25,13,0,2,372,40,206,0,0,0,296,92,947,0,255,0,65,1294,1782,0,268,392,69,256,14426,314,6,0,0,0,2,0,4349,31,0
F96,0,8739,10407,48,920,102,1740,151,7,0,8,444,62,134,0,0,6,239,57,860,0,268,0,176,1215,1860,0,354,274,55,342,16624,342,10,0,7,0,2,0,5614,45,0
F99,0,8357,12649,171,175,20,17400,383,43,0,4,5,16,10,0,0,0,670,581,465,0,0,0,0,53,816,0,0,0,38,2,11086,35,0,0,0,0,11,0,196,940,0
F102,0,9624,11496,59,157,41,1733,166,24,0,6,12,17,8,0,0,0,48,108,574,0,0,0,0,25,802,0,0,7,26,273,20083,755,0,0,0,0,16,0,1608,417,0
F105,0,18290,9711,32,92,18,2187,176,26,0,33,16,44,0,0,15,0,81,260,785,0,0,0,0,11,771,0,0,9,35,254,21122,813,0,0,0,0,45,0,1234,1044,0
F108,0,10852,9812,77,210,21,5429,293,16,0,9,25,38,0,0,0,0,32,177,728,0,0,0,0,21,1158,0,15,33,47,82,17099,1316,5,2,0,0,70,0,956,435,0
P37,0,12763,12146,3,203,35,5469,45,23,0,7,13,12,0,0,4,0,3228,132,175,0,0,0,0,51,384,0,0,0,29,561,11884,155,0,0,0,0,0,0,1569,956,0
P65,0,11279,12100,88,377,41,9684,273,46,0,9,5,13,2,0,7,0,748,83,566,0,0,0,0,48,982,0,0,0,85,648,12555,232,0,0,0,0,9,0,1061,773,0
P66,0,10136,10808,191,283,11,16002,476,42,0,11,8,24,12,0,6,0,358,516,789,0,0,0,0,68,942,0,10,3,53,410,7765,180,0,0,0,0,11,0,815,924,0
P154,0,9320,9646,0,287,7,1333,208,30,0,7,46,61,0,0,27,0,275,251,576,0,0,0,0,8,510,0,0,0,57,54,21889,1860,0,58,0,0,68,0,196,902,0
P160,0,9941,12692,63,129,11,9406,222,36,0,23,7,22,8,0,9,0,438,422,489,0,0,2,0,30,860,0,0,0,54,253,11444,233,0,5,0,0,0,0,1559,982,0
G42,0,11741,8470,68,131,21,10122,446,5,0,48,15,9,3,0,4,0,415,120,405,0,0,0,0,81,1238,0,9,0,54,186,10873,534,0,0,0,0,21,0,4763,793,0
G45,0,14214,9062,54,166,51,9751,173,12,0,5,6,17,2,0,42,0,1154,126,383,0,0,0,0,117,1371,0,8,0,30,150,13292,626,0,0,0,0,12,0,2697,998,0
G48,0,11318,9108,71,81,37,9643,163,17,0,0,12,13,5,0,9,0,817,397,339,0,0,0,0,67,982,0,20,0,58,239,11659,277,0,0,0,0,6,0,4969,1227,0
G07,0,9595,9525,72,125,25,9998,734,13,0,9,11,23,0,0,0,0,3270,179,548,0,0,0,0,86,744,0,13,0,61,123,9309,487,0,0,0,0,57,0,2893,670,0
G27,0,10010,11215,104,199,103,11210,702,71,0,4,10,15,0,0,2,0,1196,253,620,0,0,0,0,228,1394,0,22,0,214,329,11894,421,0,0,0,0,16,0,2288,1360,0
I01,0,10511,11382,17,99,13,8784,237,20,0,2,4,9,0,0,13,0,1648,142,198,0,0,0,0,61,821,0,2,0,60,382,14801,426,0,0,0,0,11,0,1686,1023,0
I03,0,9901,12142,75,66,32,8586,523,15,0,0,46,0,6,0,4,0,914,203,941,0,72,0,0,199,1154,0,14,14,51,832,9615,233,0,0,0,0,4,0,2161,895,0
I05,0,11088,8978,11,74,46,9742,220,23,0,5,2,19,9,0,14,0,1912,421,286,0,0,0,0,73,974,0,14,0,210,211,13260,125,0,0,0,0,0,0,1225,1018,0
I07,0,10499,9608,52,69,14,10926,534,34,2,0,12,2,0,0,2,0,731,282,241,0,60,0,0,87,877,0,2,0,81,443,11736,400,0,0,0,0,6,0,2327,1060,0
I08,0,12413,8689,4,266,41,8409,171,40,0,6,8,21,0,0,10,0,1059,181,577,0,14,0,0,67,1099,2,10,0,193,360,10155,170,0,0,0,0,0,0,1928,1287,0
I09,0,12518,11291,91,48,36,10563,178,15,0,2,7,4,0,0,11,0,1867,150,248,0,0,0,0,48,851,0,0,0,85,284,11868,400,0,0,0,0,17,0,1438,1018,0
I11,0,15655,5082,0,154,9,11412,451,48,0,8,0,55,9,0,16,0,601,772,748,0,32,0,0,290,1153,0,20,26,84,19,10670,552,0,0,0,0,9,0,992,1233,0
I13,0,20253,9525,140,232,17,12020,259,20,0,12,11,49,0,0,13,0,1263,556,227,0,0,0,0,119,976,0,8,4,41,740,11752,199,0,0,0,0,6,0,3548,1386,0
I15,0,9862,9418,25,18,15,13812,661,8,0,0,41,0,6,0,4,0,759,316,384,0,36,0,5,213,1204,0,9,0,77,147,10325,441,0,0,3,0,20,0,3364,629,0
I17,0,13562,9962,63,102,39,8759,219,5,0,0,0,16,0,0,7,0,1053,162,474,0,4,0,0,45,1082,0,9,2,72,498,12529,276,0,0,0,0,13,0,2150,926,0
I19,0,13819,10168,77,66,27,8300,190,19,0,2,3,12,0,0,7,0,1245,136,333,3,0,0,0,30,1103,0,0,0,62,306,12502,495,0,0,0,0,4,0,1211,865,0
I21,0,9203,18515,106,152,74,5438,122,41,0,3,0,12,0,0,16,0,1959,113,723,0,0,0,0,19,1418,0,0,0,120,887,12392,217,0,0,0,0,15,0,1902,364,0
I22,0,15444,9173,12,186,64,7412,98,60,0,6,8,25,0,0,23,0,1726,252,501,0,0,0,0,69,1159,0,13,0,136,342,13601,314,0,0,0,0,19,0,1343,1680,0
I23,0,12447,12847,45,52,21,9903,108,26,0,12,19,10,0,0,0,0,1293,260,369,0,0,0,0,103,990,0,3,0,52,499,13449,245,0,0,0,0,0,0,1510,868,0
I25,0,11000,11551,82,75,21,11217,233,30,0,0,13,10,0,0,13,0,1385,232,312,0,0,0,0,51,939,0,0,0,76,316,12479,272,0,0,0,0,0,0,2123,1156,0
I28,0,12233,12149,112,248,41,9175,203,41,0,3,0,15,0,0,0,0,1272,181,877,0,0,0,0,52,1501,0,5,0,96,661,11116,231,0,0,0,0,26,0,1265,1143,0
I29,0,12585,8676,50,138,31,11433,398,40,0,15,17,18,0,0,9,3,1215,377,496,0,0,0,0,89,984,0,14,0,112,310,12995,390,0,30,0,0,8,0,1860,805,0
I31,0,8709,10769,183,482,41,11746,186,30,0,9,35,9,4,0,11,0,2215,272,526,0,59,0,0,78,1104,0,3,6,202,450,10686,148,0,0,0,0,28,0,2241,903,0
I33,0,11301,14316,78,155,22,12353,263,41,0,4,16,18,0,0,0,0,2667,76,486,0,2,0,9,185,1361,0,0,0,150,866,10453,207,0,15,2,0,6,0,2421,930,0
I35,0,9795,10807,199,170,45,14499,123,30,0,4,0,21,0,0,12,0,910,42,688,0,0,0,0,10,680,0,0,0,115,426,8225,189,0,0,2,0,5,0,4201,809,0
I39,0,6574,18409,39,262,38,6539,32,19,0,23,63,7,0,0,0,0,699,59,1008,0,26,0,0,96,1783,0,0,0,134,252,13469,134,0,0,0,0,0,4,1754,310,0
I41,3,15689,9743,77,228,43,10555,168,105,0,9,2,47,2,0,13,0,613,195,809,0,0,0,0,34,1148,2,0,0,111,532,9949,160,2,10,0,0,21,0,2415,1352,0
I43,0,11740,12321,9,112,23,11428,303,23,0,43,3,12,6,0,10,0,641,540,785,0,8,0,0,77,1582,0,0,3,124,458,12408,249,0,0,0,0,0,0,982,910,0
