"sample","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Chloroflexi","Crenarchaeota","Cyanobacteria","Deferribacterota","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","FCPU426","Firmicutes","GAL15","Gemmatimonadota","Latescibacterota","Methylomirabilota","Myxococcota","NB1.j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2.54","Thermoplasmatota","Verrucomicrobiota","WPS.2","Fibrobacterota","Margulisbacteria","SAR324.clade.Marine.group.B.","Spirochaetota","TX1A.33"
"P66",0.199315688048138,0.212529987808235,0.00375585008062296,0.00556495064301727,0.0002163055020254,0.314665513037323,0.00936012899673575,0.00082589373500609,0,0.0002163055020254,0.00015731309238211,0.00047193927714634,0.00023596963857317,0.00011798481928658,0.00703976088409958,0.0101466944586463,0.0155150037361859,0,0.00133716128524796,0.0185236166279939,0.00019664136547764,5.89924096432926e-05,0.0010421992370315,0.00806229598458332,0.152692020293389,0.00353954457859755,0.0002163055020254,0.0160262712864278,0.0181696621701341,0,0,0,0,0
"I07",0.20961526943119,0.191826222373071,0.00103819354323477,0.00137760297083075,0.00027951364625551,0.218140435641983,0.0106614490786032,0.00067881885519196,3.99305208936451e-05,0,0.00023958312536187,3.99305208936451e-05,0,3.99305208936451e-05,0.0145946053866273,0.00563020344600395,0.00481162776768423,0.00119791562680935,0.00173697765887356,0.0175095334118634,3.99305208936451e-05,0,0.00161718609619262,0.00884461037794238,0.234312296603909,0.00798610417872901,0.00011979156268093,0.046459161059756,0.0211631760736319,0,0,0,0,0
"I22",0.287779972422018,0.170927589162598,0.00022360526217717,0.00346588156374613,0.00119256139827824,0.138113516938099,0.00182610964111355,0.00111802631088585,0,0.00011180263108858,0.00014907017478478,0.00046584429620243,0,0.00042857675250624,0.0321618902098163,0.00469571050572057,0.00933551969589684,0,0.00128573025751873,0.021596541571945,0.00024223903402526,0,0.00253419297134126,0.00637274997204934,0.253437930905974,0.00585100436030261,0.00035404166511385,0.0250251555919949,0.0313047367048038,0,0,0,0,0
"2",0.376345609065156,0.134080551792093,0,0.00207537874122429,7.39007266904791e-05,0.0658948146323439,0.00012932627170833,0.00030176130065279,0,4.31087572361128e-05,0.00033871166399802,0.00052346348072422,0.00012316787781746,0,0.0349242517551423,0.00266658455474812,0.0030853553393275,0,0.00062815617686907,0.0101859834955044,0,0,0.0022108634068235,0.00222318019460525,0.29816479862052,0.00450178593422835,0,0.0304286242148048,0.031050621997783,0,0,0,0,0
"4",0.407903088333968,0.118718604355947,0.00039896269698783,0.00444299367100085,0.00035362602687557,0.0952070072357326,0.00013601001033676,0.0007163193877736,0,0,0.00052590537330214,0,0,0.00028108735469597,0.0130297589902617,0.00364506827702519,0.0050233030484377,0,0.0018588034746024,0.0316721977404204,0.00085232939811036,0.00012694267631431,0.00296501822534139,0.00231217017572493,0.247492882142792,0.00565801643000925,0,0.0262045953248826,0.0304753096494569,0,0,0,0,0
"10",0.357188531353135,0.139253300330033,0.00034034653465346,0.00646658415841584,0,0.0534137788778878,0,0.00051567656765676,0,0,0.00234117161716172,0,0,0,0.0461530528052805,0.00089727722772277,0.00313531353135314,0.00059818481848184,0.00241336633663366,0.018523102310231,0.00043316831683168,0,0.00555899339933993,0.00089727722772277,0.310561056105611,0.00478547854785479,0.00014438943894389,0.0363758250825083,0.0100041254125413,0,0,0,0,0
"13",0.393517295411273,0.121737466862229,0.00041906184806275,0.00411773815922528,0,0.073326713370806,0,0.00044639196858858,0,0,0,0,0,0.00039173172753691,0.0161612112709417,0.00429082892255555,0.0039901975967714,0,0.00112964498173437,0.0231941622862557,0.00018220080350554,0,0.00191310843680821,0.00096566425857938,0.297816323369986,0.00414506827975111,0.00012754056245388,0.0180925397881005,0.0340351100948355,0,0,0,0,0
"16",0.392446300214379,0.10262158640306,0.00020316944331572,0.00480600821084785,0.00137314520309938,0.13487648699015,0.00020316944331572,0.00153427958917737,0,7.00584287295605e-05,0.0005254382154717,0.00065154338718491,0,0,0.0108800739817007,0.00743319928820636,0.00844204066191204,0,0.00253611512001009,0.0272176995614342,0.00068657260154969,0.00088974204486541,0.00268323782034217,0.00132410430298869,0.232579971696395,0.00453978618167552,6.30525858566044e-05,0.0148593927335398,0.0463646681332231,0,0,0,0,0.00018915775756981
"19",0.347590560732205,0.177165462865965,0.00044108728014555,0.00275679550090974,0.00026189557258642,0.132064288471081,0,0.00024811159508187,0,6.89198875227436e-05,0,0.0004824392126592,8.27038650272923e-05,0,0.0122677399790484,0.00474168826156476,0.00682306886475161,0,0.00151623752550036,0.016554556982963,0,0,0.00384572972376909,0,0.244720736615758,0.00170921321056404,0,0.0100623035783206,0.0365964602745768,0,0,0,0,0
"25",0.331199533760093,0.210973557805288,0,0.0025003994999201,8.45999830800034e-05,0.116052376789525,0.00027259994548001,0.00022559995488,0,0,0,0,9.39999812000038e-05,0,0.0106313978737204,0.00384459923108015,0.00529219894156021,0,0.00084599983080003,0.0138837972232406,0.00037599992480001,0,0.00225599954880009,0.000234999953,0.24766175046765,0.00273539945292011,0,0.00912739817452037,0.0417077916584417,0,0,0,0,0
"28",0.36184698476694,0.13293269687922,0.00055150904284654,0.00427894947036114,0.0004088773938345,0.139189471882548,0.00052298271304414,0.00370842287431299,0,0.0007511933514634,0,0.00086529867067303,0.00046593005343932,0.00041838617043531,0.0127417606450754,0.00454519521518361,0.00623775745012647,0,0.00079873723446741,0.0296864005477055,0.00033280718102808,0.00020919308521765,0.00068463191525778,0.00542951143905825,0.229047410760132,0.00741684574862598,0,0.0366848601258962,0.0202441853831086,0,0,0,0,0
