sample,Abditibacteriota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacterota,Dependentiae,Desulfobacterota,Elusimicrobiota,Entotheonellaeota,Euryarchaeota,FCPU426,Fibrobacterota,Firmicutes,GAL15,Gemmatimonadota,Halanaerobiaeota,Latescibacterota,Margulisbacteria,MBNT15,Methylomirabilota,Myxococcota,Nanoarchaeota,NB1.j,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,RCP2.54,SAR324.clade.Marine.group.B.,Spirochaetota,Sumerlaeota,Synergistota,Thermoplasmatota,TX1A.33,Verrucomicrobiota,WPS.2,WS4
F90,0,0.296179913739988,0.141856644074759,2.259190798932e-4,0.0073115629492709,9.6529061408913e-4,0.0341548572602177,5.3399055247484e-4,8.4206202505648e-4,0,8.4206202505648e-4,0.00115013349763812,0.00197165742452249,0,0,3.0807147258163e-4,0,6.9829533785171e-4,0.00137605257753132,0.0275621277469706,0,4.7237625795851e-4,0,0,0.00197165742452249,0.0380160197165742,0,3.6968576709796e-4,4.3130006161429e-4,0.00147874306839187,0.00316286711850483,0.398131033066338,0.0155678784144588,0,0,0,0,3.4914766892585e-4,0,0.0163688642431711,0.00770178681454097,0
F93,0,0.173723186350643,0.183627073626398,0.00130551241362235,0.0198753010556643,0.00132802124833997,0.046120602336417,5.6272086794066e-4,2.9261485132914e-4,0,4.50176694352533e-5,0.00837328651495712,9.0035338870506e-4,0.00463681995183109,0,0,0,0.00666261507641749,0.00207081279402165,0.0213158664775925,0,0.0057397528529948,0,0.00146307425664573,0.0291264321246089,0.0401107434668107,0,0.00603236770432395,0.00882346320930965,0.00155310959551624,0.00576226168771243,0.324712449636482,0.00706777410133477,1.3505300830576e-4,0,0,0,4.50176694352533e-5,0,0.0978909221869584,6.9777387624642e-4,0
F96,0,0.170977461261543,0.203611676318673,9.3911410236343e-4,0.0179996869619659,0.0019956174675223,0.0340428862106746,0.00295429644701831,1.36954139928e-4,0,1.5651901706057e-4,0.00868680544686179,0.00121302238221944,0.0026216935357646,0,0,1.1738926279543e-4,0.00467600563468461,0.00111519799655658,0.0168257943340116,0,0.00524338707152919,0,0.0034434183753326,0.0237713257160745,0.0363906714665832,0,0.00692596650493035,0.00536077633432462,0.00107606824229144,0.00669118797933949,0.32524651745187,0.00669118797933949,1.9564877132571e-4,0,1.36954139928e-4,0,3.91297542651432e-5,0,0.109837220222257,8.8041947096572e-4,0
F99,0,0.154398994937738,0.233695451354247,0.00315929497838377,0.00323319661530503,3.6950818460628e-4,0.321472120607471,0.00707608173521043,7.9444259690352e-4,0,7.39016369212578e-5,9.23770461515723e-5,2.9560654768503e-4,1.8475409230314e-4,0,0,0,0.0123785241843107,0.0107342127628127,0.00859106529209622,0,0,0,0,9.7919668920666e-4,0.0150759339319366,0,0,0,7.0206555075194e-4,3.69508184606289e-5,0.204818386727266,6.46639323061e-4,0,0,0,0,2.0322950153345e-4,0,0.00362118020914163,0.0173668846764956,0
F102,0,0.200145575543309,0.239076635125299,0.00122699386503067,0.00326505147135281,8.5265675366538e-4,0.0360403452220027,0.00345222002703546,4.9911614848705e-4,0,1.2477903712176e-4,2.4955807424352e-4,3.5354060517833e-4,1.6637204949568e-4,0,0,0,9.982322969741e-4,0.00224602266819174,0.0119371945513154,0,0,0,0,5.1991265467401e-4,0.0166787979619424,0,0,1.4557554330872e-4,5.4070916086097e-4,0.00567744618904024,0.41765623375273,0.0157013621711552,0,0,0,0,3.3274409899136e-4,0,0.0334407819486326,0.00867214307996257,0
F105,0,0.32029279910339,0.170058139534884,5.603810591202e-4,0.00161109554497058,3.1521434575511e-4,0.0382985430092463,0.00308209582516111,4.5530961053516e-4,0,5.778929672177e-4,2.801905295601e-4,7.7052395629027e-4,0,0,2.6267862146259e-4,0,0.00141846455589801,0.00455309610535164,0.0137468478565424,0,0,0,0,1.9263098907256e-4,0.0135016811431774,0,0,1.5760717287755e-4,6.1291678341272e-4,0.0044480246567666,0.369886522835528,0.0142371812832726,0,0,0,0,7.8803586438778e-4,0,0.0216096945923228,0.0182824320537966,0
F108,0,0.221659381510683,0.200416683688059,0.00157277666571347,0.00428939090649128,4.2893909064912e-4,0.110890967768291,0.0059847215981045,3.2681073573266e-4,0,1.8383103884962e-4,5.1064177458229e-4,7.7617549736508e-4,0,0,0,0,6.5362147146533e-4,0.00361534376404265,0.0148698884758364,0,0,0,0,4.2893909064912e-4,0.0236529269986519,0,3.0638506474937e-4,6.7404714244862e-4,9.6000653621471e-4,0.00167490502062993,0.349258548143307,0.026880183014012,1.0212835491645e-4,4.08513419665836e-5,0,0,0.00142979696883043,0,0.019526941460027,0.00888516687773193,0
P37,0,0.256043493088852,0.243665616787369,6.01841635404337e-5,0.00407246173290268,7.0214857463839e-4,0.109715730134211,9.027624531065e-4,4.6141192047665e-4,0,1.4042971492767e-4,2.6079804200854e-4,2.4073665416173e-4,0,0,8.0245551387245e-5,0,0.0647581599695067,0.00264810319577908,0.00351074287319197,0,0,0,0,0.00102313078018737,0.00770357293317552,0,0,0,5.8178024755752e-4,0.0112544385820611,0.238409533171505,0.00310951511625574,0,0,0,0,0,0,0.0314763175316468,0.0191786867815515,0
P65,0,0.218103414935994,0.233979193255211,0.0017016668600379,0.00729009552538964,7.9282205979038e-4,0.187260703097807,0.0052790346907994,8.8950767683799e-4,0,1.7403411068569e-4,9.6685617047608e-5,2.5138260432378e-4,3.86742468190432e-5,0,1.3535986386665e-4,0,0.0144641683103222,0.00160498124299029,0.0109448118497892,0,0,0,0,9.2818192365703e-4,0.0189890551881502,0,0,0,0.00164365548980934,0.01253045596937,0.242777584406544,0.00448621263100901,0,0,0,0,1.7403411068569e-4,0,0.0205166879375024,0.0149475963955602,0
P154,0,0.195486198506586,0.202324020471516,0,0.00601980031881869,1.4682439801996e-4,0.0279595603658025,0.00436278211259334,6.2924742008557e-4,0,1.4682439801996e-4,9.6484604413121e-4,0.00127946975417401,0,0,5.6632267807702e-4,0,0.00576810135078446,0.005264703414716,0.0120815504656431,0,0,0,0,1.6779931202282e-4,0.0106972061414548,0,0,0,0.0011955700981626,0.00113264535615404,0.45911989260844,0.0390133400453058,0,0.00121654501216545,0,0,0.00142629415219398,0,0.00411108314455911,0.018919372430573,0
P160,0,0.201479529793271,0.257235508715039,0.00127685447912444,0.00261451155249291,2.2294284556141e-4,0.190636400486421,0.00449939197405756,7.2963113092825e-4,0,4.6615322253749e-4,1.4187271990271e-4,4.4588569112282e-4,1.6214025131739e-4,0,1.8240778273206e-4,0,0.00887717875962708,0.0085528982569923,0.00991082286177544,0,0,4.05350628293474e-5,0,6.0802594244021e-4,0.0174300770166194,0,0,0,0.00109444669639238,0.00512768544791244,0.231941629509526,0.00472233481961897,0,1.0133765707336e-4,0,0,0,0,0.0315970814754763,0.0199027158492096,0
G42,0,0.232150271873455,0.167474048442907,0.00134453781512605,0.00259021255561048,4.1522491349481e-4,0.200138408304498,0.00881858625803262,9.88630746416214e-5,0,9.4908551655956e-4,2.9658922392486e-4,1.7795353435491e-4,5.93178447849728e-5,0,7.90904597132971e-5,0,0.00820563519525457,0.00237271379139891,0.00800790904597133,0,0,0,0,0.00160158180919427,0.0244784972812654,0,1.7795353435491e-4,0,0.00106772120612951,0.00367770637666831,0.21498764211567,0.0105585763717252,0,0,0,0,4.1522491349481e-4,0,0.0941769649036085,0.0156796836381611,0
G45,0,0.260716447477026,0.16621728204846,9.9048038298574e-4,0.00304481006621545,9.3545369504209e-4,0.178855078046186,0.0031732056714173,2.2010675177461e-4,0,9.17111465727545e-5,1.100533758873e-4,3.1181789834736e-4,3.66844586291018e-5,0,7.7037363121113e-4,0,0.0211669326289917,0.00231112089363341,0.00702507382747299,0,0,0,0,0.00214604082980245,0.0251471963902493,0,1.467378345164e-4,0,5.5026687943652e-4,0.00275133439718263,0.24380491204901,0.0114822355509089,0,0,0,0,2.2010675177461e-4,0,0.0494689924613438,0.0183055448559218,0
G48,0,0.21962199712811,0.176737687740133,0.00137773120658206,0.00157177785539644,7.1797260061318e-4,0.187119183451702,0.00316296037567431,3.2987930298443e-4,0,0,2.3285597857725e-4,2.5226064345868e-4,9.70233244071875e-5,0,1.7464198393293e-4,0,0.0158536112081344,0.00770365195793069,0.00657818139480731,0,0,0,0,0.00130011254705631,0.0190553809135716,0,3.8809329762875e-4,0,0.00112547056312337,0.00463771490666356,0.22623898785268,0.00537509217215819,0,0,0,0,1.1642798928862e-4,0,0.0964217797958629,0.0238095238095238,0
G07,0,0.197549927939057,0.196108709079679,0.0014823965410747401,0.00257360510603253,5.147210212065e-4,0.205847230800906,0.015112209182623,2.6765493102738e-4,0,1.8529956763434e-4,2.2647724933086e-4,4.7354333950998e-4,0,0,0,0,0.067325509573811,0.00368540251183858,0.0112826847848466,0,0,0,0,0.00177064031295038,0.0153180975911056,0,2.6765493102738e-4,0,0.00125591929174387,0.00253242742433601,0.191661519456455,0.0100267654931027,0,0,0,0,0.00117356392835083,0,0.0595635165740169,0.0137945233683344,0
G27,0,0.185783221974759,0.208147735708983,0.00193021529324425,0.00369339272457313,0.00191165553080921,0.208054936896808,0.0130289532293987,0.0013177431328879,0,7.42390497401633e-5,1.855976243504e-4,2.7839643652561e-4,0,0,3.71195248700817e-5,0,0.0221974758723088,0.00469561989606533,0.0115070527097253,0,0,0,0,0.00423162583518931,0.0258723088344469,0,4.0831477357089e-4,0,0.00397178916109874,0.00610616184112843,0.220749814402376,0.00781365998515219,0,0,0,0,2.9695619896065e-4,0,0.0424647364513734,0.0252412769116555,0
