"Sample","Riqueza","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","Alphaproteobacteria","Anaerolineae","Babeliae","Bacilli","bacteriap25","Bacteroidia","Bdellovibrionia","Blastocatellia","Chitinivibrionia","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Cyanobacteriia","Dehalococcoidia","Elusimicrobia","Entotheonellia","FFCH5909","Fimbriimonadia","Gammaproteobacteria","Gemmatimonadetes","Gitt.GS.136","Holophagae","Ignavibacteria","JG30.KF.CM66","Kapabacteria","KD4.96","Ktedonobacteria","Limnochordia","Lineage.IIa","Lineage.IIb","Lineage.IIc","Longimicrobia","MB.A2.108","Methylomirabilia","Myxococcia","Nitrososphaeria","Nitrospiria","Oligoflexia","Parcubacteria","Phycisphaerae","Pla4.lineage","Planctomycetes","Polyangia","Saccharimonadia","Sericytochromatia","Spirochaetia","Subgroup.5","Syntrophobacteria","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","Unclassified.Class.in.Chloroflexi","Unclassified.Class.in.Cyanobacteria","Unclassified.Class.in.Desulfobacterota","Unclassified.Class.in.FCPU426","Unclassified.Class.in.Firmicutes","Unclassified.Class.in.GAL15","Unclassified.Class.in.Latescibacterota","Unclassified.Class.in.Margulisbacteria","Unclassified.Class.in.Myxococcota","Unclassified.Class.in.NB1.j","Unclassified.Class.in.Patescibacteria","Unclassified.Class.in.Proteobacteria","Unclassified.Class.in.RCP2.54","Unclassified.Class.in.SAR324.clade.Marine.group.B.","Unclassified.Class.in.TX1A.33","Unclassified.Class.in.WPS.2","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria"
2,"pasto",0.0223426530360882,0.36445375046188,0.0776819805394753,0.0304778913659318,0.2609311491563,0.000123167877817465,4.31087572361128e-05,0.0338465328242394,0,0.00207537874122429,0,0.000560413844069467,0,0,0,0,0.00107771893090282,0,0,0,0.000123167877817465,0,0,0.0372336494642197,0.00302377140041877,0.000209385392289691,0.000973026234757975,0,0.000960709446976229,0,0,0.0224781377016874,0,0.000468037935706368,5.54255450178593e-05,0,6.15839389087326e-05,0,0.000628156176869072,0.00517305086833354,0.000129326271708338,0,7.39007266904791e-05,0,0.00028328611898017,0,0.00193989407562508,0.00501293262717083,0.0022108634068235,0.00030176130065279,0,0.005296218746151,0,0,0.0340559182165291,0,0.0106232294617564,0.00102229338588496,0,0.000338711663998029,0,0,0.00266658455474812,0,0,0,0,0,0,0.00450178593422835,0,0,0.031050621997783,0,0.0304286242148048,0.00506219977829782
4,"div",0.0146618791143028,0.397602596884464,0.0744156103222531,0.0499066064595688,0.195192499501297,0,0,0.0130297589902617,0,0.00444299367100085,0,0.00222149683550043,0,0,0,0,0,0,0,0,0,0,0.000398962696987832,0.0523003826414957,0.0050233030484377,0,0.00100647407649203,0,0,0,0,0.0375750321890358,0,0,0,0,0,0,0.0018588034746024,0.0229312877427779,0.000136010010336761,0.00012694267631431,0.000353626026875578,0,0.000290154688718423,0.000117875342291859,0.00190414014471465,0.00874090999764249,0.00296501822534139,0.000716319387773607,0,0.0025025841901964,0,0,0.0296411149193914,0,0.00706345320348911,0.000661915383638902,0,0.000525905373302142,0.000281087354695972,0,0.00364506827702519,0,0,0,0.000852329398110368,0,0,0.00565801643000925,0,0,0.0304753096494569,0,0.0262045953248826,0.00456993634731516
10,"tri",0.0145936468646865,0.338428217821782,0.104269801980198,0.0222462871287129,0.272277227722772,0.000216584158415842,0,0.0437396864686469,0,0.00634282178217822,0,0.00443481848184818,0,3.09405940594059e-05,0,0,0.00241336633663366,6.18811881188119e-05,0.000278465346534653,0,0,0,0.000340346534653465,0.0382838283828383,0.00313531353135314,0,0.00233085808580858,0,0.000556930693069307,0.000123762376237624,0.000670379537953795,0.0225350660066007,0,0,0,0,0,0,0.00241336633663366,0.0087046204620462,0,0,0,0,0,0,0.000897277227722772,0.00981848184818482,0.00555899339933993,0.000453795379537954,0,0.00536303630363036,0,0,0.0203898514851485,0.000144389438943894,0.00691006600660066,0,0,0.00234117161716172,0,0,0.000897277227722772,0.000598184818481848,0,0,0.000433168316831683,0,0,0.00478547854785479,0,0,0.0100041254125413,0,0.0363448844884488,0.00663160066006601
13,"hexa",0.0194681558545673,0.381965764469021,0.0712405141706675,0.042826298863978,0.24109721323871,0.000337071486485255,0,0.0159972305477867,0.000255081124907761,0.00392642731554446,0,0.000273301205258315,0,7.28803214022174e-05,0,0,0.000163980723154989,0,0,0,0,0,0.00041906184806275,0.0567191101312757,0.0039901975967714,0,0.00145760642804435,0,0.000537492370341353,0.000191310843680821,0,0.0179194490247702,0,0,0,0,0,0,0.00112964498173437,0.0146398345616704,0,0,0,5.4660241051663e-05,0.000227751004381929,0,0.000737913254197451,0.00829924659967751,0.00185844819575654,0,0,0.00383532691379169,0,0,0.0310287968369941,0.00012754056245388,0.00987528355000046,0.00183111807523071,0,0,0.000391731727536918,0,0.00429082892255555,0,0,0,0.000182200803505543,0,0,0.00414506827975111,0,0,0.0340351100948355,0.000446391968588581,0.0180196594666982,0.0059852963951571
16,"tri",0.0148874161050316,0.382350880634449,0.0596547520632207,0.0810646078829744,0.18246717762614,0.000154128543205033,7.00584287295605e-05,0.0108800739817007,0,0.00480600821084785,0.000308257086410066,0.000490409001106923,0,9.10759573484286e-05,9.80818002213846e-05,0,0,0,0,0,0,0,0.000203169443315725,0.0476327256932281,0.00844204066191204,0,0.00186355420420631,0,0,0,0,0.0415726716081212,0,0.000651543387184912,0,0,0,0,0.00253611512001009,0.0207443007468229,0.000203169443315725,0.000889742044865418,0.00106488811668932,0,0.000245204500553462,0,0.00107889980243523,0.00647339881461139,0.00268323782034217,0.00086872451624655,0,0.00240300410542392,0,0,0.0280794182348078,6.30525858566044e-05,0.0101234429514215,0.00186355420420631,0,0.000525438215471703,0,0,0.00743319928820636,0,0,0,0.000686572601549692,0,0.00248006837702644,0.00453978618167552,0,0.000189157757569813,0.0463646681332231,0.000665555072930824,0.0147683167761913,0.00533845226919251
19,"tri",0.0242184484754921,0.338989358769366,0.106853393615262,0.0913464189226443,0.208813475216408,5.51359100181949e-05,6.89198875227436e-05,0.0116474609913437,0,0.00275679550090974,0.000192975685063682,0.000344599437613718,0,0,0,0,0.000620278987704692,0.000179191707559133,0.000151623752550036,0,8.27038650272923e-05,0,0.000441087280145559,0.0359072613993494,0.00682306886475161,0,0.000275679550090974,0,0.0010475822903457,0,0,0.0238324971053647,0,0.000482439212659205,0,0,0,0,0.00151623752550036,0.0100347356233115,0,0,6.89198875227436e-05,0,0,0,0,0.00651982135965154,0.00384572972376909,6.89198875227436e-05,0,0.00290841925345978,0,0,0.0460936207752109,0,0.0133704581794123,0.00226057231074599,0,0,0,0,0.00474168826156476,0,0,0,0,0,0,0.00170921321056404,0,0,0.0365964602745768,0,0.0100623035783206,0.00507250372167393
25,"mono",0.0314617937076413,0.321348335730333,0.123788575242285,0.0797119840576032,0.197240160551968,0.000234999953000009,0,0.0106313978737204,0,0.0025003994999201,0,0.000422999915400017,0,0,0,0,0,0,0,0,9.39999812000038e-05,0,0,0.050421589915682,0.00529219894156021,0,0.000610999877800024,0,0.000704999859000028,0,0,0.0220241955951609,0,0,0,0,0,0,0.000845999830800034,0.0074541985091603,0.000272599945480011,0,8.45999830800034e-05,0,0.000234999953000009,0,0,0.00642959871408026,0.00225599954880009,0.000225599954880009,0,0.00349679930064014,0,0.000451199909760018,0.0557231888553622,0,0.0115619976876005,0.00181419963716007,0,0,0,0,0.00384459923108015,0,0,0,0.000375999924800015,0,0,0.00273539945292011,0,0,0.0417077916584417,0,0.00912739817452037,0.00486919902616019
28,"mono",0.0205769925641367,0.339273149116635,0.0647072247684613,0.0719624213148736,0.196489359678984,0.000808246011068216,0.000751193351463401,0.0117433391019911,0,0.00427894947036114,0,0.00137877260711637,0,0,0.000342315957628891,0,0.000998421543084267,0.00341365079968811,5.70526596048152e-05,0,0.000465930053439325,0,0.000551509042846547,0.0325580510811479,0.00623775745012647,0,0.00198733430956773,0,0.000827263564269821,0,0,0.0494646558773748,0,0.000817754787669019,4.75438830040127e-05,0,0,0.000285263298024076,0.000798737234467413,0.0191316585208147,0.00052298271304414,0.000209193085217656,0.000408877393834509,0,0,0,0.00542951143905825,0.0105547420268908,0.000684631915257783,0,0,0.00719814388680752,0,0.000608561702451363,0.0473632162485975,0,0.0154517619763041,0.000275754521423274,0,0,0.000418386170435312,0,0.00454519521518361,0,0,0,0.000332807181028089,0,0,0.00741684574862598,0,0,0.0202441853831086,0.000294772074624879,0.0366848601258962,0.0114010231443622
34,"mono",0.0192311878278662,0.330314969199626,0.0745956770640604,0.0681308634988355,0.163731742887617,0.000859798437125879,0.00129513941794911,0.0128207918852441,0,0.0053111599660434,0.00014148581876755,0.00143662523671666,0,8.7068196164646e-05,0.000500642127946714,0,0.00088156548616704,0.00363509718987397,0,0,0.000794497290002394,8.7068196164646e-05,0.000805380814522975,0.0387126967197057,0.00793408937550336,0,0.00240525891904834,0,0.000859798437125879,0,0,0.0517293920463203,0,0.000935983108769944,0,0,0,0,0.000859798437125879,0.0215493785507499,0.000272088113014519,0.000304738686576261,0.000511525652467295,0,0.000272088113014519,0.00029385516205568,0.00581180209399012,0.0113841666485275,0.000511525652467295,0,0,0.0082497115866002,0,0.000935983108769944,0.0537754946561895,0,0.0198515487255393,0.00261204588493938,0,0,0.000544176226029037,3.26505735617422e-05,0.00467991554384972,0,0,0,0.000522409176987876,0,0,0.00797762347358569,0,0,0.0201562874121155,0.000250321063973357,0.0393983587645023,0.0120045275462006
37,"hexa",0.0247538954598733,0.286071425644052,0.0955320038360341,0.109826968631405,0.236940680814092,7.37698871320727e-05,6.55732330062868e-05,0.00815567085515692,0,0.0030737452971697,0,0.00174588732879239,0,2.45899623773576e-05,0,0,0.00390160736387407,3.27866165031434e-05,0.000106556503635216,0,0.000360652781534578,0,0.000467209285169794,0.0259014270374833,0.0051556954451193,0,0.000991795149220088,9.01631953836444e-05,0.000934418570339587,1.63933082515717e-05,0.000655732330062868,0.027598134441521,0,0,0,0,0,0,0.00117212153998738,0.0220489995983639,0.000147539774264145,0.000352456127408792,0,0,0,0.00019671969901886,0.00290981221465398,0.00997532807108138,0.000803272104327014,0,0,0.00487700920484258,0,0.000704912254817584,0.0451963508495832,0.000221309661396218,0.0213113007270432,0.00447537315267908,0,0,0,0,0.00474586273883001,0.000213113007270432,4.09832706289293e-05,0,0.000549175826427652,0,0,0.00316390849255334,0,0,0.0161474086277981,0.000286882894402505,0.0185080450160245,0.00947533216940845
