taxa,mean,median,max,min,sd,se
AD3,0.06906699648591515,0.0648945590759128,0.185118181460652,0.0152995811846491,0.03517572698810007,0.005493525610898155
Acidimicrobiia,0.019571293861915775,0.0192368681863231,0.0314617937076413,0.0128127767285494,0.004299195726981389,6.714215697781041e-4
Acidobacteriae,0.34474480697435794,0.355023048152073,0.422947017013173,0.172180406093397,0.05625543375064152,0.008785622715512942
Actinobacteria,0.08737899153942985,0.0809585280564724,0.149659863945578,0.0586519093797371,0.02053628280190339,0.003207228540381536
Alphaproteobacteria,0.207118408596599,0.203925170203845,0.272277227722772,0.118614071656114,0.030292550189510214,0.004730901520295217
Anaerolineae,2.3993026834381507e-4,1.568227706663e-4,8.5979843712587e-4,0,2.6290711242669837e-4,4.105919277494818e-5
Armatimonadia,2.877678519184878e-6,0,1.1798481928658e-4,0,1.842613307373256e-5,2.877678519184878e-6
Babeliae,1.704260485120777e-4,2.60189678275463e-5,0.00235062308795824,0,4.2292585709512864e-4,6.604992210250926e-5
Bacilli,0.02007844661938786,0.01398239862761,0.0437396864686469,0.00647521757636681,0.011827243172501018,0.001847105059020816
Bacteroidia,0.00421966457304866,0.00383978316518597,0.0118664349411664,0.00105958105795093,0.0025526809827887916,3.986617919836297e-4
Bathyarchaeia,2.751831122439773e-4,0,0.00568293546230385,0,0.0011577893233292336,1.8081631409879007e-4
Bdellovibrionia,3.258067963195059e-5,0,3.0825708641006e-4,0,7.054621483154655e-5,1.1017467757244401e-5
Blastocatellia,0.0012516753680839525,0.00102713695844204,0.00443481848184818,1.8882175226586e-4,9.8267797567539e-4,1.5346851618630578e-4
Chitinivibrionia,1.2431073284523659e-5,0,5.0967400466547e-4,0,7.959770664543741e-5,1.2431073284523659e-5
Chlamydiae,2.9125866888311772e-5,0,2.7724548456802e-4,0,6.027424355890149e-5,9.413255361583729e-6
Chloroflexia,3.726255899691738e-4,2.1967400377839e-4,0.00287096393597357,0,6.552422041422681e-4,1.0233163996907999e-4
Chthonomonadetes,5.36127907133955e-5,0,0.00165178747001219,0,2.674843397502232e-4,4.177403558508236e-5
Clostridia,7.794732218321005e-4,5.9235227645536e-4,0.00390160736387407,0,8.995166244121345e-4,1.404808951157834e-4
Cyanobacteriia,2.474186191069944e-4,0,0.00363509718987397,0,7.687643432969348e-4,1.2006081949850611e-4
Deferribacteres,9.739151437474414e-7,0,3.99305208936451e-5,0,6.236099662132139e-6,9.739151437474414e-7
Dehalococcoidia,4.13062358783813e-5,0,3.370378692293e-4,0,7.870261547765266e-5,1.2291283529617449e-5
Desulfitobacteriia,2.2724112009875002e-6,0,9.31688592404875e-5,0,1.455053123845695e-5,2.2724112009875e-6
Elusimicrobia,1.1778005529240572e-5,0,1.3825713061151e-4,0,3.344168146045464e-5,5.222713197559655e-6
Entotheonellia,1.263967908970382e-4,0,7.9449729000239e-4,0,1.881977892305842e-4,2.939155672325933e-5
FFCH5909,5.405513607316958e-6,0,8.7068196164646e-5,0,1.9808254245351383e-5,3.093529581942477e-6
Fimbriimonadia,2.748282446588707e-4,2.0316944331572e-4,0.0010684065073079,0,3.028736360025331e-4,4.7300915111395946e-5
Gammaproteobacteria,0.040415318462552675,0.0387126967197057,0.066289825282631,0.0256058232746706,0.009063957019349266,0.001415552265308412
Gemmatimonadetes,0.005780301923046348,0.00529219894156021,0.0155150037361859,0.00241842058532543,0.0025205443724837543,3.9364289665794384e-4
Gitt.GS.136,5.106960787553415e-6,0,2.0938539228969e-4,0,3.270050439840242e-5,5.1069607875534155e-6
Holophagae,0.001130722925427191,0.00102127520507206,0.00348451533559423,0,7.125886704575742e-4,1.1128765334455957e-4
Ignavibacteria,2.199102326430351e-6,0,9.01631953836444e-5,0,1.4081125406961147e-5,2.199102326430351e-6
JG30.KF.CM66,6.958060175174015e-4,6.9234642497482e-4,0.00229195393731599,0,5.297389692614674e-4,8.273132764855602e-5
KD4.96,2.009313649057959e-4,0,0.00275224593654256,0,4.965858006578221e-4,7.75536725891975e-5
Kapabacteria,3.6951087814644986e-5,0,3.6190835850956e-4,0,8.427126947726904e-5,1.3160961173393572e-5
Ktedonobacteria,0.03372354221857855,0.0275779823351843,0.0993038895662091,0.0179194490247702,0.017773499900106928,0.0027757543413264633
Limnochordia,6.66813069180522e-7,0,2.73393358364014e-5,0,4.269686925106787e-6,6.66813069180522e-7
Lineage.IIa,2.0425451344495353e-4,0,0.0012563074942376,0,3.2721165630673405e-4,5.110187529922429e-5
Lineage.IIb,8.646349781628244e-6,0,1.4431501907019e-4,0,2.7256933523698428e-5,4.256817845943643e-6
Lineage.IIc,4.190863547110837e-6,0,9.31688592404875e-5,0,1.8806376420504978e-5,2.93706255308344e-6
Longimicrobia,1.5020472904568927e-6,0,6.15839389087326e-5,0,9.617795411294868e-6,1.5020472904568927e-6
MB.A2.108,4.346947573050097e-5,0,3.7933994848962e-4,0,1.0180995677735e-4,1.5900043947635136e-5
Methylomirabilia,9.670360509555156e-4,8.5214582689069e-4,0.00253611512001009,0,5.882359330014736e-4,9.186701853489417e-5
Myxococcia,0.014733385138775604,0.0141116476905542,0.0296927651139742,0.00517305086833354,0.005858027421842123,9.148701797156966e-4
Nitrososphaeria,3.737522950279381e-4,1.093573433456e-4,0.00576996026913171,0,0.001047129812639817,1.6353420202567146e-4
Nitrospiria,1.073248039610991e-4,0,8.8974204486541e-4,0,1.9478430582133135e-4,3.042019779697803e-5
Oligoflexia,1.809431495283185e-4,0,0.00115529385458204,0,3.079843995450669e-4,4.80990822799566e-5
P2.11E,5.629702806703109e-6,0,1.3764895583434e-4,0,2.5655523612418253e-5,4.0067196357733185e-6
Parcubacteria,4.564813985065339e-6,0,9.31688592404875e-5,0,1.757878888975857e-5,2.7453455903592286e-6
Phycisphaerae,2.1386072427134512e-4,0,0.00127816887560467,0,2.899849060454471e-4,4.5288033668031454e-5
Pla4.lineage,4.956949891520024e-5,0,4.5281241792774e-4,0,1.0261052787671902e-4,1.602507214788289e-5
Planctomycetes,0.00273051128879332,0.00208933166866257,0.00840537464811228,0,0.002123760177358777,3.3167561624733346e-4
Polyangia,0.00946820171568433,0.00940148488158277,0.0159626367621996,0.00458787841437444,0.002623381745824329,4.097033961152845e-4
SHA.26,1.0137975185233415e-5,0,2.3596963857317e-4,0,4.575895861869692e-5,7.146348707586951e-6
Saccharimonadia,0.0015395666500356926,0.00132099319117707,0.00555899339933993,0,0.0012772705972988942,1.9947615412987515e-4
Sericytochromatia,1.7078226277128888e-4,0,8.6872451624655e-4,0,2.3526804761117508e-4,3.6742696047624894e-5
Spirochaetia,9.084245861767317e-6,0,3.7245408033246e-4,0,5.8167554856281364e-5,9.084245861767317e-6
Subgroup.5,0.005634080255748568,0.00536303630363036,0.0106270833926892,0.00218271915680182,0.0021172297497004462,3.306557347931905e-4
Symbiobacteriia,3.7657592482848805e-6,0,7.98610417872901e-5,0,1.6846250767295927e-5,2.6309423560474216e-6
Syntrophobacteria,0,0,0,0,0,0
TK10,0.014628003565382958,0.0145588193395823,0.0222612653982071,0.00691006600660066,0.004049000794512914,6.323476859690367e-4
Thermoanaerobaculia,2.3044749252569294e-4,0,0.00153380265072561,0,3.450207125632911e-4,5.388318261049662e-5
Thermoleophilia,0.04233916771027157,0.0391597764632831,0.0697740676372546,0.020389851485148498,0.013394499732977832,0.0020918694119150777
Thermoplasmata,9.249088116995272e-5,0,3.5404166511385e-4,0,1.0958417049377929e-4,1.7114172149455897e-5
Unclassified.Class.in.Armatimonadota,5.775187148795781e-5,0,0.00182876469894207,0,2.9572883582071595e-4,4.618508478905917e-5
Unclassified.Class.in.Chloroflexi,0.0018240192386005652,0.00183111807523071,0.00457016493135539,0,0.0013425627375228675,2.0967307329041143e-4
Unclassified.Class.in.Cyanobacteria,3.7171017159963656e-5,0,2.7950657772146e-4,0,8.462625146464053e-5,1.3216400045764071e-5
Unclassified.Class.in.Desulfobacterota,2.1189338110303e-4,1.4907017478478e-4,0.00234117161716172,0,3.8792514226979253e-4,6.0583728799446213e-05
Unclassified.Class.in.FCPU426,1.3877172235637748e-4,0,5.4417622602903e-4,0,1.8806098811206668e-4,2.937019197794988e-5
Unclassified.Class.in.Firmicutes,7.963554527254195e-7,0,3.26505735617422e-5,0,5.099162900957943e-6,7.963554527254196e-7
Unclassified.Class.in.GAL15,0.003483155494852598,0.00357347167475138,0.0101466944586463,0,0.0019102274940728608,2.983274138124036e-4
Unclassified.Class.in.Latescibacterota,8.207081504729756e-5,0,0.00119791562680935,0,2.317208389607167e-4,3.6188715128479e-5
Unclassified.Class.in.Margulisbacteria,9.995919665592512e-7,0,4.09832706289293e-5,0,6.400511548618707e-6,9.995919665592512e-7
Unclassified.Class.in.Myxococcota,4.331130163042195e-6,0,1.7757633668473e-4,0,2.7732764522451963e-5,4.331130163042195e-6
Unclassified.Class.in.NB1.j,2.283708377840378e-4,1.8220080350554e-4,8.6985823661711e-4,0,2.621408187672065e-4,4.0939517811433945e-5
Unclassified.Class.in.Patescibacteria,8.496642536023414e-6,0,1.9929216919218e-4,0,3.839901541768548e-5,5.996918690598526e-6
Unclassified.Class.in.Proteobacteria,6.048947261040097e-5,0,0.00248006837702644,0,3.8732160818118894e-4,6.048947261040098e-5
Unclassified.Class.in.RCP2.54,0.004523466671465561,0.00453978618167552,0.00798610417872901,0,0.0017645811897358382,2.75581282558918e-4
Unclassified.Class.in.SAR324.clade.Marine.group.B.,9.562364065018342e-7,0,3.92056926665752e-5,0,6.122900511187585e-6,9.562364065018342e-7
Unclassified.Class.in.TX1A.33,4.613603843166097e-6,0,1.8915775756981e-4,0,2.9541478590090176e-5,4.613603843166097e-6
Unclassified.Class.in.WPS.2,0.02391943333908957,0.0240762708141119,0.0463646681332231,0.0100041254125413,0.007858146560083745,0.0012272363097602876
Vampirivibrionia,1.7126009978233567e-4,0,6.6555507293082e-4,0,2.0452536569543454e-4,3.1941495762298873e-5
Verrucomicrobiae,0.025059538464442015,0.0248760854172102,0.046459161059756,0.00912739817452037,0.008737695039332466,0.001364598704527963
Vicinamibacteria,0.008321346331573755,0.00744276251164899,0.0281310519695729,0.00456993634731516,0.0038585369277545647,6.02602227393535e-4
bacteriap25,6.221490851408781e-6,0,2.5508112490776e-4,0,3.9836978863622296e-5,6.221490851408781e-6
