taxa,mean,median,max,min,sd,se
A0839,7.650736681853313e-5,0,0.00225088347176267,0,3.599785777920814e-4,4.853950152742695e-5
A21b,5.565326493820632e-4,2.6366341481788e-4,0.00718030990765378,0,0.0013163308441398373,1.7749401481504033e-4
A4b,2.951601810492058e-6,0,1.2320834531192e-4,0,1.7337754027474004e-5,2.337822276148899e-6
AB1,2.08505058347183e-5,0,3.1534038211834e-4,0,5.937384348144997e-5,8.005967421821526e-6
AKAU3644,1.0454041420405454e-5,0,5.749722781223e-4,0,7.752924616604634e-5,1.0454041420405456e-5
AKIW781,2.1996038579809866e-5,0,1.5521924718665e-4,0,4.391097739422957e-5,5.920954983963222e-6
AKYG1722,3.980141341603616e-6,0,1.6637204949568e-4,0,2.3400054328790893e-5,3.1552626820206427e-6
AKYH767,2.4144166580798676e-5,0,5.47816559712e-4,0,8.579592718305069e-5,1.1568720461343821e-5
Abditibacteriaceae,1.009409377749589e-6,0,5.55175157762274e-5,0,7.485980300126677e-6,1.009409377749589e-6
Acetobacteraceae,0.014214805688685056,0.0132923564236962,0.03943866440842,0.00265604249667995,0.0055468545350762805,7.479377129304078e-4
Acidiferrobacteraceae,8.18503080640969e-7,0,4.50176694352533e-5,0,6.070181308332694e-6,8.18503080640969e-7
Acidimicrobiaceae,0.0025528934923520065,0.00249448891982829,0.00562919266946028,0,0.0015227503901210381,2.0532762071709043e-4
Acidimicrobiales.Incertae.Sedis,0.0011946895407656832,0.00109355556393529,0.00326095151926412,0,6.425723857999292e-4,8.664444282579793e-5
Acidobacteriaceae..Subgroup.1.,0.025836106075913943,0.026427218363481,0.0519829006051409,0.00249848065365656,0.008737403661342784,0.0011781512693526265
Acidothermaceae,0.06618912318000944,0.064469969447345,0.131709795666534,0.0292690561903271,0.01898751455364598,0.0025602759401173853
Actinospicaceae,8.441828810005841e-4,7.1181413741967e-4,0.00299959620820274,0,7.086821275715629e-4,9.55586785877811e-5
Aeromonadaceae,3.247765489145333e-5,0,8.389965601141e-4,0,1.4833276709820488e-4,2.000118623528037e-5
Akkermansiaceae,6.854338453524164e-7,0,3.76988614943829e-5,0,5.083313446906753e-6,6.854338453524164e-7
Alcaligenaceae,4.1877824610484526e-06,0,7.5979181704213e-5,0,1.5512434509168944e-5,2.0916962425103504e-6
Alicyclobacillaceae,3.2517855539970954e-4,2.2793754511263e-4,0.00346142563801701,0,5.201927837776595e-4,7.014278065545381e-5
Amb.16S.1034,2.2054952403989816e-5,0,0.00121302238221944,0,1.6356390465143612e-4,2.2054952403989816e-5
Amb.16S.1323,7.026408244438727e-6,0,2.73908279856e-4,0,3.9669132527777566e-5,5.3489847388527515e-6
Amoebophilaceae,1.4216176964979854e-6,0,4.10694484373075e-5,0,7.395448917584481e-6,9.97202128617878e-7
Anaerolineaceae,5.931068355854952e-6,0,1.6340536786633e-4,0,2.412560298320386e-5,3.253095642623765e-6
Anaeromyxobacteraceae,0.0012148892055526032,0.00107784431137725,0.00368162121656404,6.08025942440211e-5,7.705104312606085e-4,1.0389560535647912e-4
Anaerovoracaceae,5.429502049044758e-6,0,1.6779931202282e-4,0,2.599000236272443e-5,3.5044912036736297e-6
Aneurinibacillaceae,2.3651804886123635e-6,0,1.3008492687368e-4,0,1.7540647961355193e-5,2.365180488612364e-6
Atopobiaceae,2.703063415557091e-6,0,1.4866848785564e-4,0,2.0046454812978133e-5,2.703063415557091e-6
Azospirillaceae,2.5781079667958295e-5,0,3.119475928044e-4,0,6.803415963916249e-5,9.173724214305121e-6
B1.7BS,6.886014276134345e-5,0,0.00250430427296917,0,3.76554642036844e-4,5.077461757422712e-5
BIrii41,7.86404901265311e-5,0,0.00171067143853963,0,0.00030193993721108953,4.07135728279753e-5
BSV26,3.1677514028773e-6,0,6.16041726559612e-5,0,1.3330663335272959e-5,1.7975062774369626e-6
Babeliaceae,6.492107294182458e-6,0,1.0487457001426e-4,0,2.209405871338043e-5,2.9791622691631763e-6
Bacillaceae,0.016434152951051887,0.0131175534598517,0.0578546427836113,2.3605319065229e-4,0.013144216873419509,0.0017723658416492918
Bacteriovoracaceae,7.15019102987992e-6,0,1.8484288354898e-4,0,2.956341392040727e-5,3.986329919816496e-6
Bacteroidaceae,1.0547521859739055e-6,0,5.80113702285648e-5,0,7.822251565880522e-6,1.0547521859739057e-6
Bdellovibrionaceae,1.628809484842495e-4,1.3183170740894e-4,7.8259508530286e-4,0,1.577762988269559e-4,2.127455179381861e-5
Beijerinckiaceae,0.008679878781482563,0.00783566285472258,0.023229697410835,0.00294948114310379,0.004172687048847017,5.626450068869621e-4
Bifidobacteriaceae,6.3139280844154295e-6,0,1.6964487672472e-4,0,2.6338894541431276e-5,3.5515358154533606e-6
Blastocatellaceae,1.2189851676082148e-4,5.79128218987684e-5,0.00119296824003421,0,2.1672814420203659e-4,2.9223617002585354e-5
Blattabacteriaceae,1.493679867062491e-6,0,8.2152392688437e-5,0,1.1077426370314097e-5,1.493679867062491e-6
Bogoriellaceae,2.056301536057091e-6,0,1.1309658448314e-4,0,1.5249940340719087e-5,2.056301536057091e-6
Brevibacillaceae,1.8805252855694526e-5,0,1.6332159837404e-4,0,4.8128944145740495e-5,6.48970550471186e-6
Bryobacteraceae,0.02173754899876014,0.0212282452056313,0.0456792227714334,0.00549215567110091,0.008828708682718948,0.0011904628359234292
Burkholderiaceae,0.005467266186426887,0.0046373585605639,0.0159688647260617,0.00137303891777523,0.003083494201200778,4.157782732711538e-4
COB.P4.1.termite.group,7.029098711390473e-7,0,3.86600429126476e-5,0,5.21291912290601e-6,7.029098711390473e-7
CPla.3.termite.group,7.5889081365604675e-6,0,9.83554961051224e-5,0,2.1385259786405457e-5,2.8835878413470523e-6
CWT.CU03.E12,1.6391440098104992e-5,0,3.5657353804849e-4,0,5.4625011902582116e-5,7.365635102354765e-6
Caedibacteraceae,6.387346927637613e-6,0,1.0241284666748e-4,0,2.14907094459531e-5,2.8978066705398157e-6
Caldicoprobacteraceae,1.0584362662602273e-6,0,5.82139946443125e-5,0,7.84957343652628e-6,1.058436266260227e-6
Caldilineaceae,1.1398228796548942e-5,0,1.8007067774101e-4,0,3.253306812102222e-5,4.386758010540093e-6
Caldinitratiruptor,1.1172310545543929e-6,0,6.14477080004916e-5,0,8.28560725652258e-6,1.1172310545543927e-6
Caloramatoraceae,8.340627743583497e-6,0,3.0076544806532e-4,0,4.2974134444759076e-5,5.794631106426689e-6
Candidatus.Hepatincola,2.606872460626909e-6,0,1.4337798533448e-4,0,1.933308359855263e-5,2.606872460626909e-6
Candidatus.Jidaibacter,3.444996367799149e-6,0,8.2138896874615e-5,0,1.3574959455392772e-5,1.830447159553979e-6
Candidatus.Spiroplasma,1.493679867062491e-6,0,8.2152392688437e-5,0,1.1077426370314097e-5,1.493679867062491e-6
Catenulisporaceae,0.0017848999801952225,0.00175976272862086,0.00435332116275804,2.2508834717626e-4,8.571398172162524e-4,1.1557670937579317e-4
Caulobacteraceae,0.005267747652225668,0.00479131574022085,0.0135140685972479,0.00158117376483634,0.0025861361945974273,3.4871453334175956e-4
Cellulomonadaceae,8.498150594025818e-6,0,1.8583560981955e-4,0,3.614321304927202e-5,4.873549853359771e-6
Chitinibacteraceae,8.880726100964634e-6,0,3.1462371004278e-4,0,4.6037738572209366e-5,6.20772740270045e-6
Chitinophagaceae,0.003089185890868267,0.00255489021956088,0.0130551241362235,3.4747693139261e-4,0.0024334762497258506,3.2812987057454694e-4
Christensenellaceae,1.2408934263489512e-5,0,4.1309308364151e-4,0,6.337808236387347e-5,8.545898882581504e-6
Chromobacteriaceae,2.8773290764720265e-5,0,6.5746219592373e-4,0,1.1173447930171777e-4,1.5066274115524017e-5
Chthoniobacteraceae,0.01968714631417733,0.0163429038368681,0.0682618563155423,4.1949828005705e-4,0.015285990297243469,0.0020611625112032
Chthonomonadaceae,3.805504017634628e-4,3.3613445378151e-4,0.0012124767771585,0,3.029757318017938e-4,4.08532393420939e-5
Clostridiaceae,4.178739481772894e-4,3.8518681560556e-4,0.00127825315427764,0,2.965679988848931e-4,3.998922081183878e-5
Coleofasciculaceae,1.0853846024399221e-5,0,4.0712844902566e-4,0,5.7002283981369935e-5,7.686186404066055e-6
Comamonadaceae,0.002203694376314007,0.00142009593536986,0.011679622539351,0,0.002402803717773626,3.239939872098291e-4
Coriobacteriaceae,3.4131097292985546e-6,0,7.40233543683032e-5,0,1.4467400430790621e-5,1.950783876127937e-6
Corynebacteriaceae,6.049892708933818e-6,0,3.3274409899136e-4,0,4.4867205155086064e-5,6.049892708933818e-6
Coxiellaceae,8.99320938189363e-6,0,2.0974914002852e-4,0,3.2819210158058726e-5,4.425341394943086e-6
Crocinitomicaceae,6.989109220557073e-7,0,3.84401007130639e-5,0,5.183262122764171e-6,6.989109220557073e-7
Cytophagaceae,1.2823724706853417e-5,0,3.7156546396792e-4,0,5.470966648179763e-5,7.377049923487561e-6
Deferribacteraceae,0,0,0,0,0,0
Desulfitobacteriaceae,6.634823286988767e-6,0,1.3198084392322e-4,0,2.5085530071514617e-5,3.3825321848065355e-6
Desulfovibrionaceae,2.0126359824327255e-5,0,5.2437285007131e-4,0,8.43529674403239e-5,1.1374151809326543e-5
Devosiaceae,7.190177257472636e-5,0,9.9038872757557e-4,0,1.8638145096195778e-4,2.5131669720850287e-5
Diplorickettsiaceae,8.479562868365798e-4,8.347245409015e-4,0.00239987410496499,2.2393908856791e-4,4.3976562479346084e-4,5.9297984750362605e-5
Dongiaceae,2.9297039292198784e-4,0,0.00274607783555045,0,6.352306773094342e-4,8.565448705489054e-5
