taxa,mean,median,max,min,sd,se
ADurb.Bin063.1,0.004539731190640622,0.00375878999334568,0.0200832583258326,0,0.0034464900224712002,4.6472461982620384e-4
Abditibacterium,1.009409377749589e-6,0,5.55175157762274e-5,0,7.485980300126677e-6,1.009409377749589e-6
Achromobacter,7.031681239826036e-7,0,3.86742468190432e-5,0,5.2148343772536806e-6,7.031681239826036e-7
Acidibacter,0.030326071757460545,0.0293396694587726,0.072829364666736,2.7554048325561e-4,0.015951089203280252,0.0021508444293980903
Acidicaldus,0.003645490429508655,0.00337112508945723,0.0113684033895461,0,0.001950492697290445,2.630043816497552e-4
Acidicapsa,4.054595123335636e-6,0,2.2300273178346e-4,0,3.00696822194672e-5,4.054595123335636e-6
Acidiphilium,4.923499127769536e-4,4.0362105748717e-4,0.00167957068534677,0,4.44222387358882e-4,5.989893449209026e-5
Acidipila.Silvibacterium,7.664997167756412e-4,6.5375814794162e-4,0.00302038761641077,0,5.736927818230366e-4,7.735671892024921e-5
Acidisphaera,7.5815770298608e-5,0,0.00190871717425959,0,3.0892888890093006e-4,4.1655962881585845e-5
Aciditerrimonas,0.0011946895407656832,0.00109355556393529,0.00326095151926412,0,6.425723857999292e-4,8.664444282579793e-5
Acidocella,1.493679867062491e-6,0,8.2152392688437e-5,0,1.1077426370314097e-5,1.493679867062491e-6
Acidothermus,0.06618912318000944,0.064469969447345,0.131709795666534,0.0292690561903271,0.01898751455364598,0.0025602759401173853
Acidovorax,2.8126724959303637e-6,0,1.5469698727617e-4,0,2.0859337509014346e-5,2.8126724959303637e-6
Acinetobacter,4.669863764071719e-4,0,0.0111586542495176,0,0.0017783565803949687,2.3979355238257788e-4
Actinoallomurus,2.2100268235562346e-4,2.5704399406821e-4,0.00111295652620585,0,2.2514031829104944e-4,3.0357914325351218e-5
Actinocatenispora,0,0,0,0,0,0
Actinocorallia,0.0024694100095864094,0.00176434210047655,0.0111421623779625,0,0.0020748846786011518,2.7977739298799695e-4
Actinomadura,0.0020092971528932555,0.00216382091431269,0.00511565390093687,0,0.0012512797359816776,1.6872252518037778e-4
Actinomycetospora,1.579939135219698e-4,0,0.00145028425571412,0,2.596104984277248e-4,3.500587246679715e-5
Actinoplanes,4.6167744184694127e-4,0,0.00409660791860805,0,8.42755778959203e-4,1.1363716605287941e-4
Actinopolymorpha,2.3621515826414546e-6,0,1.2991833704528e-4,0,1.7518184993476183e-5,2.3621515826414546e-6
Actinospica,8.441828810005841e-4,7.1181413741967e-4,0.00299959620820274,0,7.086821275715629e-4,9.55586785877811e-5
Adhaeribacter,1.0158801534414363e-5,0,3.8265019019965e-4,0,5.639651899885938e-5,7.604505070487322e-6
Aeromonas,2.5881139678519515e-5,0,6.5022233408843e-4,0,1.1462031541042233e-4,1.545540017704003e-5
Afipia,0.017725230093455672,0.0175967823026647,0.0340781731577473,0.00899570100183702,0.005018449816827155,6.7668763525671e-4
Aggregicoccus,7.195678023601802e-6,0,1.8688413183826e-4,0,3.16246385584206e-5,4.264265393307382e-6
Agromyces,3.6832638628843633e-6,0,2.0257951245864e-4,0,2.7315815887497142e-5,3.6832638628843633e-6
Akkermansia,6.854338453524164e-7,0,3.76988614943829e-5,0,5.083313446906753e-6,6.854338453524164e-7
Alicyclobacillus,5.111909518094621e-6,0,1.1602274045713e-4,0,2.0012569092601776e-5,2.6984942659536493e-6
Alistipes,5.06620490080416e-6,0,1.9671099221024e-4,0,2.8543706264523066e-5,3.848832567546526e-6
Alkanindiges,6.279883319324795e-6,0,1.8854406274746e-4,0,2.9090867867628512e-5,3.9226118230582985e-6
Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,1.3957786586113845e-4,0,0.00150809192608099,0,3.1166210195501164e-4,4.202450925461476e-5
Alsobacter,3.627953160439973e-5,0,3.338898163606e-4,0,8.844812578495461e-5,1.1926342847869587e-5
Altererythrobacter,1.6507381438920962e-5,0,5.6272086794066e-4,0,8.024548682933379e-5,1.082029923672655e-5
Amantichitinum,6.992065753386345e-7,0,3.84563616436249e-5,0,5.185454746193721e-6,6.992065753386345e-7
Amaricoccus,2.8647607822432724e-6,0,1.5756184302338e-4,0,2.1245634579163546e-5,2.8647607822432724e-6
Ammoniphilus,1.1432460617787077e-4,9.29178049097768e-5,5.6266977105161e-4,0,1.422410382318436e-4,1.917977768250754e-5
Amnibacterium,7.913984289518928e-5,0,0.00139281471467781,0,2.5842199174080097e-4,3.484561425782502e-5
Amycolatopsis,2.459956795730664e-4,0,0.00280388289438063,0,5.375482358000169e-4,7.248298932874596e-5
Anaerobacter,1.7014615554761546e-6,0,9.35803855511885e-5,0,1.2618376613573691e-5,1.7014615554761546e-6
Anaerobacterium,7.270790418878591e-6,0,1.9101466992665e-4,0,3.324093197923593e-5,4.48220635371017e-6
Anaerocolumna,4.826054485409658e-6,0,1.2353304508956e-4,0,2.1845789433126882e-5,2.9456856462430182e-6
Anaerofilum,1.0547521859739055e-6,0,5.80113702285648e-5,0,7.822251565880522e-6,1.0547521859739057e-6
Anaeromyxobacter,0.0012148892055526032,0.00107784431137725,0.00368162121656404,6.08025942440211e-5,7.705104312606085e-4,1.0389560535647912e-4
Anaerovorax,3.762026656812858e-6,0,1.6779931202282e-4,0,2.313725681692244e-5,3.119827072749164e-6
Aneurinibacillus,2.3651804886123635e-6,0,1.3008492687368e-4,0,1.7540647961355193e-5,2.365180488612364e-6
Angulomicrobium,1.0151957889678673e-6,0,5.58357683932327e-5,0,7.528893474249385e-6,1.0151957889678673e-6
Angustibacter,1.1046436674045817e-5,0,4.4999217404914e-4,0,6.391652312119793e-5,8.618502219488056e-6
Aquabacterium,2.4333763659802163e-4,0,0.00627149928685292,0,0.0010547620727885461,1.422240888810964e-4
Aquicella,4.522514533189558e-4,4.117768169652e-4,0.00105887335874629,0,2.685950518186872e-4,3.621734939889326e-5
